date,open,high,low,close,volume
2018-01-19,82.4,83.0,79.0,81.1,119870
2018-01-18,78.5,80.0,78.5,80.0,57370
2018-01-17,79.6,82.5,79.6,79.8,7450
2018-01-16,81.0,82.0,80.1,82.0,7170
2018-01-15,79.0,82.5,78.0,82.5,37820
2018-01-12,80.0,82.0,79.0,79.0,23320
2018-01-11,81.0,81.5,79.8,80.4,44770
2018-01-10,82.1,83.0,80.0,81.5,37420
2018-01-09,84.8,84.8,83.0,83.0,62300
2018-01-08,83.1,85.0,82.0,84.5,70280
2018-01-05,84.0,84.0,83.0,83.2,18410
2018-01-04,83.0,85.0,83.0,84.9,89260
2018-01-03,83.0,83.2,81.0,83.0,90850
2018-01-02,78.0,82.0,78.0,80.6,68220
2017-12-29,74.5,78.0,74.1,78.0,130800
2017-12-28,74.0,74.5,73.5,74.1,42870
2017-12-27,72.6,73.7,72.6,73.1,52490
2017-12-26,72.5,73.4,72.5,72.6,8990
2017-12-25,75.0,75.0,72.1,72.5,4060
2017-12-22,73.2,73.2,72.0,72.9,78640
2017-12-21,73.1,74.4,73.1,73.2,275070
2017-12-20,74.9,74.9,73.0,73.1,49470
2017-12-19,72.9,74.9,72.9,74.9,125620
2017-12-18,73.0,73.0,72.0,72.5,40080
2017-12-15,71.9,72.0,71.1,72.0,52930
2017-12-14,72.0,73.4,71.9,71.9,17620
2017-12-13,74.0,74.0,71.0,72.0,32510
2017-12-12,71.0,71.5,70.5,71.5,17170
2017-12-11,70.5,73.8,70.5,71.5,50600
2017-12-08,72.5,73.5,72.5,73.0,103770
2017-12-07,73.0,73.0,72.2,72.9,26560
2017-12-06,74.9,74.9,73.0,73.5,80270
2017-12-05,72.1,75.0,71.9,74.9,78220
2017-12-04,71.0,71.9,71.0,71.9,45170
2017-12-01,71.2,71.3,71.0,71.0,16590
2017-11-30,71.9,71.9,71.0,71.3,49130
2017-11-29,70.7,72.0,70.0,70.5,62140
2017-11-28,70.8,71.9,70.5,71.0,28250
2017-11-27,72.0,73.0,70.6,70.7,242510
2017-11-24,71.5,71.9,71.0,71.0,39360
2017-11-23,72.0,72.0,70.4,71.5,26590
2017-11-22,71.0,72.0,70.0,72.0,84430
2017-11-21,71.5,72.0,70.5,71.0,96450
2017-11-20,70.1,71.5,70.0,71.5,74840
2017-11-17,70.2,73.0,70.1,71.5,193880
2017-11-16,68.6,72.0,68.6,72.0,53800
2017-11-15,70.5,72.0,68.2,71.0,140430
2017-11-14,65.0,69.5,64.1,69.5,385270
2017-11-13,64.9,65.8,64.9,65.0,72610
2017-11-10,63.1,65.2,63.1,65.0,48250
2017-11-09,64.8,65.0,64.5,64.9,109910
2017-11-08,63.1,64.9,63.1,64.8,7040
2017-11-07,65.5,65.5,64.9,64.9,12070
2017-11-06,63.0,64.9,62.7,64.9,76070
2017-11-03,62.6,63.9,62.6,62.6,47140
2017-11-02,63.4,63.4,62.6,62.6,85810
2017-11-01,62.6,62.9,62.5,62.6,45500
2017-10-31,62.6,63.5,62.5,62.6,107550
2017-10-30,63.2,64.0,62.1,62.6,85240
2017-10-27,62.5,63.0,62.0,63.0,33230
2017-10-26,62.3,64.9,62.3,62.5,10540
2017-10-25,64.4,64.4,63.2,63.2,71080
2017-10-24,62.0,63.2,62.0,63.2,45500
2017-10-23,63.5,63.9,63.0,63.0,97230
2017-10-20,63.9,64.1,63.0,63.8,85110
2017-10-19,64.4,64.4,63.0,64.2,82610
2017-10-18,65.0,65.0,63.5,63.5,164000
2017-10-17,66.9,67.0,64.0,64.8,164700
2017-10-16,64.2,66.0,63.1,66.0,255590
2017-10-13,61.5,63.4,61.5,63.0,289190
2017-10-12,59.5,61.0,59.5,61.0,489320
2017-10-11,59.3,59.4,59.2,59.4,40670
2017-10-10,59.4,59.4,59.1,59.2,70890
2017-10-09,59.0,59.5,59.0,59.1,105800
2017-10-06,59.2,59.2,58.5,58.9,23010
2017-10-05,58.5,59.1,58.5,59.0,34120
2017-10-04,58.0,59.0,58.0,59.0,15340
2017-10-03,59.0,59.0,58.0,58.1,40260
2017-10-02,60.0,60.0,58.2,58.2,32020
2017-09-29,59.0,59.8,59.0,59.7,146220
2017-09-28,58.8,59.5,58.4,58.9,135840
2017-09-27,58.2,58.8,57.8,58.4,162700
2017-09-26,56.5,58.4,56.2,58.2,115860
2017-09-25,56.4,56.5,55.6,56.4,23790
2017-09-22,56.0,56.8,56.0,56.5,75900
2017-09-21,56.5,56.5,55.7,56.0,19560
2017-09-20,56.0,57.1,55.9,56.5,122020
2017-09-19,56.0,56.0,55.5,55.9,131570
2017-09-18,55.5,56.0,55.0,56.0,97640
2017-09-15,56.3,56.4,55.5,55.5,170940
2017-09-14,57.0,57.1,56.3,56.3,57710
2017-09-13,56.0,57.9,55.8,57.9,109080
2017-09-12,55.1,56.2,55.1,56.0,110930
2017-09-11,57.5,57.5,55.2,55.2,95710
2017-09-08,58.3,58.3,57.4,57.4,81480
2017-09-07,58.0,58.0,57.5,57.6,174740
2017-09-06,58.8,58.8,58.0,58.0,63080
2017-09-05,59.0,59.1,58.8,59.0,41150
2017-09-01,59.5,59.5,59.2,59.2,19610
2017-08-31,59.3,59.3,59.0,59.2,63060
2017-08-30,59.3,59.3,59.0,59.3,72360
2017-08-29,59.2,59.5,59.0,59.3,49710
2017-08-28,59.5,59.7,59.3,59.3,58920
2017-08-25,59.7,59.9,59.5,59.7,60460
2017-08-24,59.9,59.9,59.7,59.9,199860
2017-08-23,60.0,60.0,59.7,59.8,61150
2017-08-22,60.0,60.0,59.7,59.9,71320
2017-08-21,60.0,60.4,59.8,60.0,176960
2017-08-18,59.9,60.0,59.9,60.0,159680
2017-08-17,60.0,60.1,59.5,60.0,190470
2017-08-16,59.0,60.2,59.0,60.0,73300
2017-08-15,61.0,61.0,58.0,60.0,151120
2017-08-14,60.5,60.5,59.5,60.0,168300
2017-08-11,59.9,60.3,59.9,60.1,125740
2017-08-10,59.2,60.5,59.1,60.1,172920
2017-08-09,60.1,60.9,59.5,60.0,384710
2017-08-08,61.0,61.0,60.3,60.5,236400
2017-08-07,60.6,61.2,60.6,61.0,447390
2017-08-04,61.0,61.0,60.5,60.6,267610
2017-08-03,60.1,61.1,60.1,61.0,476970
2017-08-02,60.0,61.0,59.8,60.0,530950
2017-08-01,61.0,61.0,60.0,60.0,198280
2017-07-31,60.5,61.2,60.5,61.0,145430
2017-07-28,61.0,61.4,60.0,61.0,600310
2017-07-27,59.4,61.4,58.9,60.0,438580
2017-07-26,57.7,59.5,57.6,58.9,307260
2017-07-25,57.5,58.0,57.3,57.5,198020
2017-07-24,57.7,57.8,57.7,57.7,282460
2017-07-21,57.8,58.0,57.6,57.7,140450
2017-07-20,57.8,58.0,57.5,57.8,342050
2017-07-19,58.0,58.3,57.5,57.7,279130
2017-07-18,58.0,58.2,57.6,57.6,319370
2017-07-17,57.9,59.0,57.2,58.2,469140
2017-07-14,58.1,58.6,57.3,57.4,605590
2017-07-13,59.1,59.1,58.3,58.3,780690
2017-07-12,59.0,59.9,58.6,59.2,376520
2017-07-11,60.2,60.2,58.0,59.0,838360
2017-07-10,61.6,61.6,58.0,60.1,2677240
2017-07-07,57.6,57.6,57.6,57.6,114260
2017-07-06,,,,,0
2017-07-05,,,,,0
2017-07-04,,,,,0
