date,open,high,low,close,volume,adj_close
2017-11-14,55.0,56.0,54.1,55.3,462250,55.3
2017-11-13,57.5,57.5,54.0,55.4,580360,55.4
2017-11-10,58.0,58.2,57.1,58.0,147190,58.0
2017-11-09,56.9,58.4,56.4,58.2,399080,58.2
2017-11-08,55.9,56.9,55.9,56.9,197170,56.9
2017-11-07,53.6,56.9,53.6,56.0,417220,56.0
2017-11-06,57.1,57.3,53.5,54.8,590070,54.8
2017-11-03,56.8,58.0,56.7,57.2,356150,57.2
2017-11-02,60.1,60.8,56.8,56.8,708070,56.8
2017-11-01,61.5,61.5,60.0,60.8,386030,60.8
2017-10-31,62.0,62.0,61.0,61.2,205440,61.2
2017-10-30,63.0,63.2,62.0,62.0,475770,62.0
2017-10-27,62.0,62.6,61.7,62.6,265120,62.6
2017-10-26,62.3,62.3,60.8,62.0,150610,62.0
2017-10-25,62.2,62.3,60.5,62.2,101350,62.2
2017-10-24,62.1,62.9,60.8,62.2,298110,62.2
2017-10-23,62.8,63.0,62.0,62.4,228920,62.4
2017-10-20,63.3,64.0,63.0,63.3,326490,63.3
2017-10-19,62.8,63.5,62.5,63.3,416860,63.3
2017-10-18,62.0,63.3,61.6,62.8,516960,62.8
2017-10-17,60.6,62.0,60.6,62.0,398400,62.0
2017-10-16,60.6,61.2,60.3,60.9,258220,60.9
2017-10-13,60.6,60.9,60.4,60.9,360640,60.9
2017-10-12,61.8,61.8,60.7,60.9,276780,60.9
2017-10-11,62.0,62.0,61.7,61.8,226180,61.8
2017-10-10,61.0,61.8,60.6,61.8,213840,61.8
2017-10-09,61.5,61.5,60.5,61.2,174990,61.2
2017-10-06,61.4,62.3,61.3,61.7,129560,61.7
2017-10-05,60.4,62.4,60.4,61.4,254450,61.4
2017-10-04,60.3,60.7,59.6,60.4,332820,60.4
2017-10-03,61.9,62.7,59.5,60.2,459660,60.2
2017-10-02,62.5,63.1,62.0,62.0,331260,62.0
2017-09-29,63.9,63.9,62.8,63.1,611130,63.1
2017-09-28,64.8,64.8,63.8,63.9,442750,63.9
2017-09-27,64.5,64.8,64.4,64.8,252960,64.8
2017-09-26,65.0,65.3,64.4,64.4,648770,64.4
2017-09-25,64.6,65.1,64.4,64.9,358140,64.9
2017-09-22,64.2,64.8,64.2,64.6,340680,64.6
2017-09-21,63.4,65.0,63.4,64.2,479010,64.2
2017-09-20,65.2,65.2,63.7,64.0,1065660,64.0
2017-09-19,66.2,66.6,61.9,65.2,1325010,65.2
2017-09-18,68.0,68.0,66.4,66.4,1266740,66.4
2017-09-15,68.3,68.4,67.7,68.3,3548190,68.3
2017-09-14,68.7,69.2,68.4,68.4,709380,68.4
2017-09-13,67.7,69.2,67.5,68.7,2785080,68.7
2017-09-12,66.9,67.5,66.9,67.5,647000,67.5
2017-09-11,67.6,67.6,66.9,67.0,484390,67.0
2017-09-08,66.8,67.9,66.5,66.9,743570,66.9
2017-09-07,67.0,67.3,66.8,66.8,580970,66.8
2017-09-06,67.0,67.3,66.5,67.0,525730,67.0
2017-09-05,67.5,67.9,66.9,67.0,807400,67.0
2017-09-01,66.8,67.1,66.2,66.8,237100,66.8
2017-08-31,67.0,67.7,66.6,66.8,403980,66.8
2017-08-30,67.7,68.0,67.0,67.0,357560,67.0
2017-08-29,68.1,68.7,67.8,68.0,544800,68.0
2017-08-28,67.5,68.5,67.3,68.3,939860,68.3
2017-08-25,67.6,68.4,67.3,67.5,501000,67.5
2017-08-24,66.6,67.8,66.4,67.6,865230,67.6
2017-08-23,66.3,66.8,66.2,66.7,103940,66.7
2017-08-22,67.7,67.8,66.3,66.7,211800,66.7
2017-08-21,67.0,67.9,66.8,67.3,1445250,67.3
2017-08-18,65.8,66.4,65.7,66.1,287630,66.1
2017-08-17,66.1,66.3,65.8,65.8,202030,65.8
2017-08-16,66.3,66.7,65.5,66.1,578890,66.1
2017-08-15,66.3,66.3,65.5,66.3,269720,66.3
2017-08-14,64.5,66.2,64.2,66.0,264910,66.0
2017-08-11,65.0,65.9,64.2,64.5,186140,64.5
2017-08-10,65.0,66.0,64.8,65.2,283290,65.2
2017-08-09,67.5,68.0,65.5,65.8,699190,65.8
2017-08-08,66.8,69.0,66.8,67.5,1347990,67.5
2017-08-07,63.6,66.8,63.5,66.8,1648590,66.8
2017-08-04,62.8,63.9,62.7,63.6,515090,63.6
2017-08-03,63.0,63.2,62.7,63.0,331860,63.0
2017-08-02,62.8,63.5,62.1,63.2,347480,63.2
2017-08-01,62.2,63.7,62.2,63.0,420960,63.0
2017-07-31,64.0,64.0,62.8,62.8,291180,62.8
2017-07-28,62.7,64.2,62.1,64.2,505210,64.2
2017-07-27,64.1,64.1,62.8,62.8,883020,62.8
2017-07-26,65.2,65.2,64.3,64.6,328670,64.6
2017-07-25,62.0,65.0,61.0,64.9,1548220,64.9
2017-07-24,64.5,65.5,63.0,63.0,1064220,63.0
2017-07-21,65.5,66.0,65.3,65.5,615940,65.5
2017-07-20,66.7,66.9,65.3,65.5,583230,65.5
2017-07-19,68.8,69.9,68.8,69.3,998340,66.08
2017-07-18,68.3,69.2,68.2,68.9,796070,65.69
2017-07-17,70.0,70.4,68.6,68.7,613290,65.5
2017-07-14,70.8,71.0,70.0,70.0,766980,66.74
2017-07-13,69.0,70.2,69.0,70.2,1069020,66.93
2017-07-12,69.8,69.8,68.8,68.8,905250,65.6
2017-07-11,68.8,68.8,68.0,68.8,669300,65.6
2017-07-10,68.5,69.4,68.2,68.8,1149130,65.6
2017-07-07,70.7,71.0,69.4,69.5,1345800,66.27
2017-07-06,68.5,71.2,68.0,71.0,1697930,67.7
2017-07-05,67.6,69.4,67.3,68.8,493040,65.6
2017-07-04,68.5,68.6,67.2,67.7,983220,64.55
2017-07-03,69.0,69.6,68.5,68.9,1235890,65.69
2017-06-30,69.9,70.1,69.0,69.0,846590,65.79
2017-06-29,68.8,70.2,67.9,69.5,980940,66.27
2017-06-28,68.4,69.7,67.3,68.6,1212630,65.41
2017-06-27,71.3,71.6,68.8,68.8,1547410,65.6
2017-06-26,72.0,73.3,71.2,71.8,1137940,68.46
2017-06-23,69.7,72.0,69.6,71.4,1825360,68.08
2017-06-22,67.6,69.8,67.5,69.5,1121960,66.27
2017-06-21,65.5,67.0,64.4,66.9,980190,63.79
2017-06-20,64.0,65.4,63.9,65.4,1506260,62.36
2017-06-19,62.3,63.8,62.3,63.8,797760,60.83
2017-06-16,62.4,63.0,62.3,62.4,369590,59.5
2017-06-15,62.5,63.3,62.1,62.8,546160,59.88
2017-06-14,62.8,63.0,61.9,63.0,848170,60.07
2017-06-13,63.2,63.7,62.7,63.0,422580,60.07
2017-06-12,62.6,64.5,62.3,63.0,830860,60.07
2017-06-09,61.0,63.4,61.0,62.6,1104760,59.69
2017-06-08,61.1,61.3,60.8,61.1,325680,58.26
2017-06-07,61.4,61.8,61.0,61.1,626820,58.26
2017-06-06,61.1,61.5,60.8,61.5,554760,58.64
2017-06-05,59.7,61.8,59.2,61.1,665100,58.26
2017-06-02,60.7,61.2,59.7,59.7,1244790,56.92
2017-06-01,61.2,61.8,61.2,61.2,522880,58.35
2017-05-31,61.5,61.7,60.4,61.2,714650,58.35
2017-05-30,60.1,62.1,60.1,61.0,1067000,58.16
2017-05-29,58.0,60.5,58.0,60.1,967250,57.3
2017-05-26,58.2,58.9,57.6,58.1,1237030,55.4
2017-05-25,59.0,60.1,58.6,59.0,684100,56.25
2017-05-24,60.6,60.7,57.5,59.0,1789900,56.25
2017-05-23,61.0,64.5,60.6,60.6,2839240,57.78
2017-05-22,59.8,60.6,59.0,60.6,3062670,57.78
2017-05-19,53.8,56.7,53.3,56.7,4369030,54.06
2017-05-18,50.8,53.0,50.8,53.0,3077950,50.53
2017-05-17,51.0,52.0,50.5,51.0,1642560,48.63
2017-05-16,49.1,52.0,48.7,51.1,3627190,48.72
2017-05-15,48.25,49.2,48.0,48.7,2429190,46.43
2017-05-12,48.6,48.9,48.4,48.6,1272460,46.34
2017-05-11,,,,,3351200,46.34
2017-05-10,,,,,2706150,44.91
2017-05-09,,,,,864620,44.72
2017-05-08,,,,,1414880,45.29
2017-05-05,,,,,1274310,44.91
2017-05-04,,,,,2947740,45.29
2017-05-03,,,,,521490,44.57
2017-04-28,,,,,781910,44.48
2017-04-27,,,,,825430,43.76
2017-04-26,,,,,1743790,42.05
2017-04-25,,,,,2533550,43.05
2017-04-24,,,,,1757390,46.15
2017-04-21,,,,,4820970,46.62
