date,open,high,low,close,volume
2018-08-13,199.7,199.7,195.0,196.7,360
2018-08-10,195.0,198.8,195.0,195.0,3080
2018-08-09,196.0,199.7,195.0,197.0,480
2018-08-08,196.3,197.0,194.0,197.0,2220
2018-08-07,192.0,195.0,192.0,194.0,230
2018-08-06,200.0,200.0,191.0,191.0,2210
2018-08-03,200.0,200.0,195.0,200.0,620
2018-08-02,195.0,199.9,187.0,191.1,1560
2018-08-01,200.0,202.0,190.8,200.9,1150
2018-07-31,200.1,202.4,200.0,202.4,860
2018-07-30,202.4,202.5,202.4,202.4,29730
2018-07-27,217.6,218.2,217.6,217.6,5750
2018-07-26,233.9,248.0,233.9,233.9,590
2018-07-25,220.5,251.4,218.6,251.4,6190
2018-07-24,219.1,235.0,207.0,235.0,5680
2018-07-23,228.0,228.2,218.7,221.0,1060
2018-07-20,228.0,230.0,227.8,228.0,3220
2018-07-19,228.0,244.9,228.0,244.9,4450
2018-07-18,227.0,244.9,225.0,244.9,8530
2018-07-17,245.0,247.0,239.0,239.0,6870
2018-07-16,245.4,245.4,235.0,245.0,3810
2018-07-13,249.5,249.9,232.5,245.4,35730
2018-07-12,244.0,250.0,232.5,244.0,18810
2018-07-11,256.5,256.5,246.0,250.0,13200
2018-07-10,257.5,257.5,231.0,256.5,37640
2018-07-09,225.0,240.7,218.5,240.7,11290
2018-07-06,224.2,230.0,224.2,225.0,16270
2018-07-05,238.8,241.0,238.8,241.0,123420
2018-07-04,256.7,256.7,256.7,256.7,10000
2018-07-03,296.7,296.7,276.0,276.0,10050
2018-07-02,296.7,296.7,296.7,296.7,10610
2018-06-29,321.0,321.0,319.0,319.0,1800
2018-06-28,342.0,343.4,342.0,343.0,76700
2018-06-27,321.0,321.0,321.0,321.0,16860
