date,open,high,low,close,volume
2018-07-17,13.1,13.1,12.85,12.9,23510
2018-07-16,13.15,13.2,12.85,13.0,27760
2018-07-13,13.2,13.3,12.9,12.9,16410
2018-07-12,12.85,13.4,12.85,12.85,10980
2018-07-11,13.4,13.4,12.8,12.8,19750
2018-07-10,13.0,13.4,12.7,13.3,37550
2018-07-09,13.0,13.0,12.7,13.0,21040
2018-07-06,12.3,13.0,12.3,12.8,27820
2018-07-05,13.2,13.2,12.4,12.7,22780
2018-07-04,12.8,13.0,12.6,13.0,18860
2018-07-03,12.9,13.0,12.6,12.8,62840
2018-07-02,13.5,13.5,12.7,13.0,46720
2018-06-29,13.2,13.5,13.05,13.3,8340
2018-06-28,13.3,13.3,12.9,13.0,43370
2018-06-27,13.4,13.4,13.0,13.3,14240
2018-06-26,13.4,13.4,13.0,13.4,14090
2018-06-25,13.4,13.55,13.4,13.55,16040
2018-06-22,12.95,13.6,12.8,13.4,56880
2018-06-21,13.25,13.35,12.9,13.3,29980
2018-06-20,13.6,13.65,13.2,13.25,30500
2018-06-19,13.95,13.95,12.7,13.2,49720
2018-06-18,13.4,13.85,13.0,13.4,51810
2018-06-15,14.0,14.35,13.4,13.4,46810
2018-06-14,14.5,14.5,13.85,13.85,48330
2018-06-13,14.0,14.7,13.9,14.5,44370
2018-06-12,14.7,14.7,13.9,14.4,33420
2018-06-11,14.0,14.9,14.0,14.3,76510
2018-06-08,16.0,16.0,14.9,14.9,109530
2018-06-07,16.45,16.45,16.0,16.0,150780
2018-06-06,15.4,15.4,15.0,15.4,93080
2018-06-05,13.7,14.4,13.2,14.4,108810
2018-06-04,13.1,13.5,12.8,13.5,189120
2018-06-01,13.2,13.2,12.9,13.1,60400
2018-05-31,13.3,13.3,13.0,13.0,40700
2018-05-30,13.2,13.2,12.8,13.2,17840
2018-05-29,13.0,13.2,12.7,13.2,57400
2018-05-28,13.3,13.45,12.45,12.65,60220
2018-05-25,13.45,13.55,12.9,13.35,45190
2018-05-24,13.55,13.55,13.1,13.3,33780
2018-05-23,12.7,13.45,12.65,13.1,51180
2018-05-22,13.7,13.7,13.0,13.6,33260
2018-05-21,13.95,13.95,13.3,13.7,19450
2018-05-18,13.95,13.95,13.45,13.9,20860
2018-05-17,14.0,14.0,13.75,13.95,13990
2018-05-16,14.0,14.0,13.8,14.0,31460
2018-05-15,14.0,14.1,13.8,14.0,35020
2018-05-14,14.0,14.15,13.95,14.1,47590
2018-05-11,13.5,14.2,13.4,14.0,64110
2018-05-10,13.9,14.05,13.5,13.95,29860
2018-05-09,14.2,14.2,13.6,13.6,36490
2018-05-08,13.85,14.1,13.4,14.1,53310
2018-05-07,12.8,13.2,12.8,13.2,22370
2018-05-04,13.2,13.5,12.45,12.7,108400
2018-05-03,13.35,13.35,13.35,13.35,58170
2018-05-02,14.4,15.8,14.35,14.35,26730
2018-04-27,14.75,16.9,14.75,15.4,229980
2018-04-26,15.85,15.85,15.85,15.85,4350
2018-04-24,17.0,17.0,17.0,17.0,16410
2018-04-23,19.7,19.7,18.25,18.25,89320
2018-04-20,19.6,19.8,19.0,19.6,12840
2018-04-19,19.4,19.8,19.3,19.65,21190
2018-04-18,20.9,20.9,19.6,19.7,21770
2018-04-17,20.7,20.7,19.75,19.9,44580
2018-04-16,20.45,20.45,20.25,20.3,12400
2018-04-13,20.45,20.45,20.0,20.3,13150
2018-04-12,20.4,20.6,20.05,20.45,9250
2018-04-11,20.3,20.7,20.15,20.45,27290
2018-04-10,20.4,21.0,20.2,20.7,28580
2018-04-09,21.1,21.4,20.65,21.0,32310
2018-04-06,21.7,21.7,21.1,21.5,15120
2018-04-05,22.95,22.95,21.1,22.0,35560
2018-04-04,20.6,21.7,20.35,21.7,86370
2018-04-03,20.1,20.5,20.1,20.3,16230
2018-04-02,20.95,20.95,20.2,20.4,36000
2018-03-30,19.75,20.7,19.75,20.7,8230
2018-03-29,20.45,20.45,20.1,20.4,5160
2018-03-28,20.65,20.65,20.0,20.45,18950
2018-03-27,20.85,20.85,20.1,20.3,12910
2018-03-26,19.75,21.0,19.5,20.1,14490
2018-03-23,20.0,21.0,19.95,20.7,86060
2018-03-22,22.55,22.55,21.45,21.45,5090
2018-03-21,22.65,22.65,21.6,22.4,11230
2018-03-20,22.75,22.75,20.7,22.25,8700
2018-03-19,22.6,23.0,22.05,22.05,26260
2018-03-16,22.85,22.85,22.1,22.8,11870
2018-03-15,22.9,23.0,22.2,22.8,8740
2018-03-14,22.7,23.5,22.4,23.0,35900
2018-03-13,22.3,22.5,22.3,22.5,4660
2018-03-12,22.3,22.7,22.1,22.3,25980
2018-03-09,22.6,22.8,22.3,22.6,10340
2018-03-08,22.6,22.8,22.1,22.75,27200
2018-03-07,23.0,23.05,22.3,22.8,28550
2018-03-06,22.7,23.0,22.5,23.0,27280
2018-03-05,23.0,23.2,22.8,22.8,48330
2018-03-02,22.4,23.2,22.4,23.1,38910
2018-03-01,22.0,23.5,21.2,22.3,38130
2018-02-28,23.0,23.1,22.2,22.2,73480
2018-02-27,23.6,24.0,22.9,23.0,75010
2018-02-26,24.75,24.75,23.4,23.9,111210
2018-02-23,23.7,25.0,22.5,23.95,100830
2018-02-22,23.2,23.95,22.95,23.4,236770
2018-02-21,21.0,22.4,21.0,22.4,111560
2018-02-13,20.0,20.95,19.5,20.95,55080
2018-02-12,18.9,19.8,18.9,19.6,40690
2018-02-09,17.65,18.9,17.65,18.75,13480
2018-02-08,19.1,19.1,18.3,18.45,19810
2018-02-07,19.0,19.2,18.3,18.5,30420
2018-02-06,18.1,18.1,17.5,18.0,90590
2018-02-05,20.0,20.0,18.8,18.8,24790
2018-02-02,20.5,20.6,19.9,20.2,41090
2018-02-01,18.8,19.95,18.65,19.95,142060
2018-01-31,18.1,19.0,18.1,18.65,43230
2018-01-30,18.9,18.9,18.0,18.0,62760
2018-01-29,19.0,19.0,18.3,18.5,70440
2018-01-26,19.8,19.8,18.75,19.0,96710
2018-01-25,20.3,20.3,18.9,19.7,70320
2018-01-22,20.6,20.6,20.1,20.3,31300
2018-01-19,20.8,20.8,20.4,20.55,39460
2018-01-18,20.6,20.6,20.0,20.4,55700
2018-01-17,20.4,20.8,20.3,20.4,19770
2018-01-16,20.85,20.85,20.3,20.4,18680
2018-01-15,20.1,20.8,20.1,20.4,36980
2018-01-12,20.7,20.7,20.0,20.1,54890
2018-01-11,20.2,20.8,20.2,20.6,29390
2018-01-10,21.1,21.3,20.25,20.9,35800
2018-01-09,20.2,21.3,20.0,21.1,126970
2018-01-08,19.5,20.2,19.5,20.2,26240
2018-01-05,20.2,20.2,20.0,20.0,32020
2018-01-04,20.3,20.3,19.8,20.2,72370
2018-01-03,20.45,20.45,19.9,20.3,90350
2018-01-02,20.7,20.8,20.0,20.5,39510
2017-12-29,21.1,21.1,20.3,20.7,52040
2017-12-28,20.4,21.1,20.4,21.1,46760
2017-12-27,21.6,21.6,20.8,21.0,51800
2017-12-26,21.2,21.5,20.85,21.5,77530
2017-12-25,20.4,20.5,19.95,20.5,74460
2017-12-22,21.45,21.5,19.95,19.95,232530
2017-12-21,22.7,22.7,21.45,21.45,143090
2017-12-20,22.2,23.0,22.1,22.45,56690
2017-12-19,22.5,22.7,22.0,22.2,117740
2017-12-18,23.5,23.5,22.7,22.7,136610
2017-12-15,23.7,23.7,23.0,23.0,94010
2017-12-14,23.5,23.8,22.8,23.7,79960
2017-12-13,23.8,23.8,23.0,23.5,94200
2017-12-12,24.0,24.2,22.55,23.7,112800
2017-12-11,24.8,24.8,23.8,24.2,97570
2017-12-08,24.5,24.9,24.0,24.6,108210
2017-12-07,24.9,24.95,24.4,24.5,40260
2017-12-06,24.7,25.4,24.4,24.7,55950
2017-12-05,25.5,25.5,24.7,25.3,38830
2017-12-04,26.0,26.0,24.9,24.9,88690
2017-12-01,26.05,26.2,25.5,25.9,42450
2017-11-30,27.3,27.3,26.1,26.1,59430
2017-11-29,24.5,26.2,24.5,26.2,175370
2017-11-28,24.5,24.8,24.1,24.5,31350
2017-11-27,24.5,24.6,24.05,24.05,100390
2017-11-24,24.6,25.15,24.4,24.4,89030
2017-11-23,24.55,25.0,24.4,25.0,36930
2017-11-22,24.6,24.9,24.25,24.55,40710
2017-11-21,24.8,24.8,24.4,24.6,66310
2017-11-20,24.6,24.6,24.45,24.5,25110
2017-11-17,25.0,25.3,24.5,24.5,59600
2017-11-16,24.5,25.3,24.5,25.0,126070
2017-11-15,24.7,24.7,24.4,24.5,25640
2017-11-14,24.3,24.8,24.3,24.7,30210
2017-11-13,24.1,24.7,24.1,24.7,40260
2017-11-10,24.0,24.8,23.9,24.4,43710
2017-11-09,24.3,24.3,23.75,23.9,90300
2017-11-08,25.0,25.0,23.7,24.3,51050
2017-11-07,25.15,25.5,24.8,25.2,18180
2017-11-06,23.45,25.05,23.45,25.05,165330
2017-11-03,25.0,25.5,23.45,23.45,297970
2017-11-02,26.75,26.75,25.2,25.2,37190
2017-11-01,26.3,26.3,25.8,25.9,45600
2017-10-31,26.5,26.5,25.2,25.9,86460
2017-10-30,28.1,28.1,26.5,26.5,28700
2017-10-27,26.5,28.4,26.5,27.9,209700
2017-10-26,25.5,27.6,25.5,27.6,292780
2017-10-25,27.6,27.6,27.0,27.4,121080
2017-10-24,27.5,28.3,27.4,27.6,100020
2017-10-23,29.2,29.3,27.0,27.0,143450
2017-10-20,28.6,29.0,28.6,29.0,192850
2017-10-19,28.7,28.8,28.45,28.6,197650
2017-10-18,29.2,29.3,28.7,28.7,157290
2017-10-17,29.25,29.6,29.2,29.25,157710
2017-10-16,29.2,29.55,29.0,29.1,106960
2017-10-13,29.1,29.2,28.7,29.0,70730
2017-10-12,29.4,29.65,28.7,29.1,158240
2017-10-11,30.0,30.5,29.1,29.3,201250
2017-10-10,28.35,30.0,28.3,30.0,369460
2017-10-09,27.9,28.4,27.8,28.35,320440
2017-10-06,27.55,28.15,27.55,27.8,58340
2017-10-05,27.5,28.4,27.45,27.55,169210
2017-10-04,26.9,27.45,26.9,27.45,116390
2017-10-03,27.65,27.85,26.8,26.9,57930
2017-10-02,27.3,28.2,27.3,27.85,144400
2017-09-29,28.2,28.6,27.4,27.5,74490
2017-09-28,29.0,29.2,28.2,28.2,72850
2017-09-27,28.0,29.4,27.5,29.0,154080
2017-09-26,27.1,28.0,27.05,28.0,120910
2017-09-25,29.8,29.95,27.9,28.0,243320
2017-09-22,30.1,30.5,30.0,30.0,123210
2017-09-21,31.0,31.0,29.8,30.3,106390
2017-09-20,29.6,30.9,29.2,30.4,277560
2017-09-19,31.0,32.0,29.8,29.8,281420
2017-09-18,28.5,30.45,28.5,30.4,446470
2017-09-15,26.2,28.65,26.2,28.5,414520
2017-09-14,27.5,27.5,26.0,26.8,204600
2017-09-13,26.8,26.9,26.0,26.9,104250
2017-09-12,24.0,25.45,24.0,25.45,102460
2017-09-11,24.3,24.95,23.4,23.8,114260
2017-09-08,26.0,26.0,24.95,24.95,62960
2017-09-07,25.15,27.3,25.15,25.9,119130
2017-09-06,27.8,27.8,25.9,25.9,226390
2017-09-05,27.9,27.9,27.0,27.8,261750
2017-09-01,26.3,26.3,26.3,26.3,287000
2017-08-31,24.6,24.6,24.6,24.6,225000
2017-08-30,23.0,23.0,23.0,23.0,61100
2017-08-29,21.5,21.5,21.5,21.5,100
2017-08-28,20.1,20.1,20.1,20.1,100
2017-08-25,18.8,18.8,18.8,18.8,100
2017-08-24,17.6,17.6,17.6,17.6,100
2017-08-23,16.45,16.45,16.45,16.45,100
2017-08-22,14.4,15.4,14.4,15.4,200
2017-08-21,14.4,14.4,14.4,14.4,100
