date,open,high,low,close,volume,adj_close
2017-11-14,,,,,440940,25.8
2017-11-13,,,,,401960,25.25
2017-11-10,,,,,392480,25.0
2017-11-09,,,,,193960,24.3
2017-11-08,,,,,165700,24.1
2017-11-07,,,,,362440,23.7
2017-11-06,,,,,29660,23.3
2017-11-03,,,,,355210,23.1
2017-11-02,,,,,180970,22.7
2017-11-01,,,,,22690,22.4
2017-10-31,22.15,23.0,22.15,22.85,103670,22.85
2017-10-30,22.5,22.8,22.4,22.4,162420,22.4
2017-10-27,23.2,23.2,22.4,22.8,35800,22.8
2017-10-26,23.4,23.4,22.4,22.5,19900,22.5
2017-10-25,22.4,23.2,22.3,23.0,33950,23.0
2017-10-24,22.5,22.7,22.0,22.4,45900,22.4
2017-10-23,23.0,23.2,22.5,22.5,133710,22.5
2017-10-20,23.4,23.9,23.0,23.1,110200,23.1
2017-10-19,24.0,24.0,23.5,23.5,119720,23.5
2017-10-18,23.8,24.0,23.6,23.65,184730,23.65
2017-10-17,24.0,24.2,23.6,23.6,201570,23.6
2017-10-16,24.2,24.45,23.5,23.7,160150,23.7
2017-10-13,23.1,24.2,23.1,24.0,445810,24.0
2017-10-12,23.4,23.4,22.9,22.9,101170,22.9
2017-10-11,23.4,23.9,23.0,23.0,184710,23.0
2017-10-10,23.2,23.4,22.65,23.4,116300,23.4
2017-10-09,22.5,22.85,22.4,22.6,75270,22.6
2017-10-06,23.0,23.0,22.5,22.8,89060,22.8
2017-10-05,23.0,23.0,22.6,22.8,33040,22.8
2017-10-04,22.0,23.0,22.0,23.0,65800,23.0
2017-10-03,22.35,22.65,22.25,22.25,83080,22.25
2017-10-02,22.3,22.7,22.2,22.35,47760,22.35
2017-09-29,22.5,22.7,22.1,22.3,58540,22.3
2017-09-28,22.7,23.1,22.5,22.5,100920,22.5
2017-09-27,23.1,23.1,22.6,22.7,154490,22.7
2017-09-26,23.0,23.15,22.75,23.15,80380,23.15
2017-09-25,23.6,23.6,23.0,23.0,114510,23.0
2017-09-22,23.8,23.95,23.4,23.5,282790,23.5
2017-09-21,23.6,23.8,23.5,23.65,238120,23.65
2017-09-20,23.6,23.9,23.6,23.6,95230,23.6
2017-09-19,24.0,24.1,22.65,23.7,189590,23.7
2017-09-18,24.3,24.3,23.9,24.05,111300,24.05
2017-09-15,24.1,24.1,23.7,24.0,73520,24.0
2017-09-14,23.95,24.25,23.7,23.8,128700,23.8
2017-09-13,23.65,24.45,23.65,24.1,102560,24.1
2017-09-12,23.8,23.9,23.5,23.65,107480,23.65
2017-09-11,24.1,24.4,23.8,23.8,166910,23.8
2017-09-08,23.9,24.0,23.65,24.0,268450,24.0
2017-09-07,23.2,23.9,23.1,23.6,278780,23.6
2017-09-06,23.3,23.4,23.05,23.2,104870,23.2
2017-09-05,23.5,23.75,23.0,23.3,171200,23.3
2017-09-01,23.85,23.85,23.1,23.55,123020,23.55
2017-08-31,23.2,24.3,22.8,23.4,383670,23.4
2017-08-30,21.35,22.8,21.35,22.8,442590,22.8
2017-08-29,21.6,21.95,21.35,21.35,48140,21.35
2017-08-28,22.0,22.0,21.55,22.0,24860,22.0
2017-08-25,21.8,22.5,21.5,22.5,116190,22.0
2017-08-24,21.5,22.0,21.45,21.5,25470,21.02
2017-08-23,22.0,22.0,21.4,21.45,23870,20.97
2017-08-22,22.25,22.3,21.5,21.75,34910,21.27
2017-08-21,22.1,22.1,21.75,21.75,47080,21.27
2017-08-18,21.9,22.2,21.2,22.0,119750,21.51
2017-08-17,22.5,22.5,21.7,21.7,76060,21.22
2017-08-16,22.4,22.55,22.0,22.4,102630,21.9
2017-08-15,21.85,22.8,21.7,22.25,191190,21.76
2017-08-14,21.2,21.65,21.1,21.65,79320,21.17
2017-08-11,21.0,21.2,20.3,21.05,69540,20.58
2017-08-10,20.55,20.8,20.55,20.65,55600,20.19
