date,open,high,low,close,volume
2015-11-05,15.6,15.6,15.6,15.6,27900.0
2015-11-06,16.6,16.6,16.6,16.6,110.0
2015-11-09,17.7,17.7,17.7,17.7,94040.0
2015-11-10,18.9,18.9,18.3,18.3,115370.0
2015-11-11,19.5,19.5,18.0,18.1,31980.0
2015-11-12,18.1,19.1,17.9,18.1,10980.0
2015-11-13,18.4,18.4,17.7,18.0,29830.0
2015-11-16,18.0,18.2,17.9,18.1,20050.0
2015-11-17,18.1,18.2,18.1,18.1,32150.0
2015-11-18,18.1,18.2,17.8,18.2,37360.0
2015-11-19,18.1,18.5,18.1,18.4,25310.0
2015-11-20,18.4,18.6,18.4,18.5,35200.0
2015-11-23,18.6,19.7,18.5,19.7,75120.0
2015-11-24,20.0,21.0,20.0,21.0,21250.0
2015-11-25,21.0,22.4,20.7,22.4,21120.0
2015-11-26,23.9,23.9,22.6,23.8,6680.0
2015-11-27,23.5,25.0,23.3,23.3,43610.0
2015-11-30,23.0,23.4,22.9,22.9,49430.0
2015-12-01,22.9,23.2,22.9,23.0,26970.0
2015-12-02,23.0,24.6,22.4,24.6,47220.0
2015-12-03,24.9,26.3,24.3,26.3,47470.0
2015-12-04,26.4,27.0,26.2,26.7,51060.0
2015-12-07,26.8,26.8,26.5,26.7,35320.0
2015-12-08,26.8,28.5,26.4,28.5,29550.0
2015-12-09,30.4,30.4,30.1,30.2,39860.0
2015-12-10,32.0,32.3,30.3,31.9,54160.0
2015-12-11,33.7,34.1,31.9,34.1,32580.0
2015-12-14,36.0,36.4,35.1,36.4,24550.0
2015-12-15,38.9,38.9,38.9,38.9,4230.0
2015-12-16,41.6,41.6,41.6,41.6,4100.0
2015-12-17,44.5,44.5,39.2,42.2,73820.0
2015-12-18,45.1,45.1,43.0,44.5,25310.0
2015-12-21,44.5,47.6,44.5,47.6,16470.0
2015-12-22,47.6,49.7,47.6,48.6,24110.0
2015-12-23,48.0,49.5,47.0,47.3,35030.0
2015-12-24,47.0,47.2,45.8,47.0,30300.0
