date,open,high,low,close,volume
2010-10-20,38.0,38.0,31.0,31.0,11760.0
2010-10-21,31.0,31.0,31.0,31.0,1000.0
2010-10-22,32.5,32.5,32.5,32.5,2800.0
2010-10-25,34.0,34.0,33.0,34.0,1530.0
2010-10-26,34.8,34.8,32.3,34.0,130.0
2010-10-27,32.3,32.3,32.3,32.3,600.0
2010-10-28,30.7,30.7,30.7,30.7,670.0
2010-10-29,29.2,30.0,29.2,29.2,30.0
2010-11-01,29.2,30.0,29.2,30.0,3500.0
2010-11-02,29.7,30.0,29.7,29.7,3080.0
2010-11-03,29.9,29.9,29.6,29.7,1970.0
2010-11-04,29.6,29.6,29.5,29.6,940.0
2010-11-05,29.6,29.6,29.1,29.4,24090.0
2010-11-08,29.4,29.4,29.4,29.4,5120.0
2010-11-09,30.4,30.4,28.5,30.4,20100.0
2010-11-10,30.3,30.3,29.0,29.9,18800.0
2010-11-11,28.5,29.9,28.5,28.8,16960.0
2010-11-12,29.0,29.0,28.9,28.9,10520.0
2010-11-15,28.9,28.9,28.7,28.7,12850.0
2010-11-16,30.1,30.1,28.5,28.8,15050.0
2010-11-17,28.8,30.0,28.8,29.0,15360.0
2010-11-18,30.0,30.0,29.0,29.6,14290.0
2010-11-19,30.9,30.9,29.7,29.7,15110.0
2010-11-22,29.7,29.9,28.4,28.4,13750.0
2010-11-23,29.8,29.8,27.0,29.7,13540.0
2010-11-24,30.6,30.6,28.3,29.8,13460.0
2010-11-25,30.7,30.7,29.8,30.5,15800.0
2010-11-26,30.6,30.6,30.2,30.3,15470.0
2010-11-29,28.8,30.5,28.8,30.5,17990.0
2010-11-30,32.0,32.0,30.5,30.8,18060.0
2010-12-01,31.5,31.5,30.9,31.0,21430.0
2010-12-02,31.0,31.0,29.5,29.9,17970.0
2010-12-03,29.9,30.9,28.5,28.5,33260.0
2010-12-06,29.8,29.9,28.5,29.9,25760.0
2010-12-07,31.2,31.2,28.6,28.6,15810.0
2010-12-08,29.9,29.9,28.6,29.5,13410.0
2010-12-09,29.5,29.5,29.2,29.3,17480.0
2010-12-10,29.4,30.0,29.3,30.0,26170.0
2010-12-13,31.3,31.5,31.0,31.0,215640.0
2010-12-14,31.5,31.5,30.0,31.5,378200.0
2010-12-15,32.9,32.9,30.0,32.8,233660.0
2010-12-16,31.4,31.5,31.2,31.4,180230.0
2010-12-17,32.0,32.9,30.0,32.9,193870.0
2010-12-20,34.2,34.5,31.8,34.5,46740.0
2010-12-21,33.1,35.9,32.8,34.5,782710.0
2010-12-22,36.0,36.0,33.2,33.2,735540.0
2010-12-23,34.6,34.6,33.0,34.6,671190.0
2010-12-24,34.6,36.3,34.6,36.3,697760.0
2010-12-27,38.1,38.1,37.0,38.1,279600.0
2010-12-28,39.0,39.0,37.7,37.9,175180.0
2010-12-29,37.9,37.9,36.8,36.9,460870.0
2010-12-30,37.1,38.7,36.5,38.7,527740.0
2010-12-31,38.9,39.3,38.6,38.6,275770.0
2011-01-04,38.0,40.3,38.0,38.6,136800.0
2011-01-05,39.0,39.0,37.0,37.1,244260.0
2011-01-06,37.1,37.1,36.2,37.1,217830.0
2011-01-07,37.5,38.2,37.5,38.0,498170.0
2011-01-10,38.1,38.1,37.0,37.0,108810.0
2011-01-11,37.7,37.7,36.3,36.4,132160.0
2011-01-12,36.8,38.0,36.8,37.9,211750.0
2011-01-13,37.9,38.6,37.5,38.2,171340.0
2011-01-14,38.5,40.1,38.4,40.1,395150.0
2011-01-17,41.0,42.1,41.0,42.1,380430.0
2011-01-18,43.7,44.2,42.3,44.2,659870.0
2011-01-19,44.2,44.9,43.0,44.0,196730.0
2011-01-20,45.3,46.2,45.0,46.2,466340.0
2011-01-21,47.7,47.7,45.8,46.1,222060.0
2011-01-24,45.0,47.0,44.1,44.2,214960.0
2011-01-25,44.0,45.1,42.8,43.8,552090.0
2011-01-26,43.8,45.9,43.8,45.9,259260.0
2011-01-27,47.3,48.0,46.1,48.0,400780.0
2011-01-28,48.2,49.0,48.0,48.6,297140.0
2011-02-08,49.5,49.5,48.1,48.1,125360.0
2011-02-09,48.9,48.9,46.2,46.2,260680.0
2011-02-10,46.2,46.2,45.6,45.9,165880.0
2011-02-11,45.9,48.1,45.5,47.9,205130.0
2011-02-14,47.0,47.1,46.5,46.7,118680.0
2011-02-15,46.7,46.7,44.5,45.2,170640.0
2011-02-16,45.5,46.9,45.2,45.5,251260.0
2011-02-17,45.5,45.7,44.6,45.0,115860.0
2011-02-18,44.5,44.6,42.8,42.9,273270.0
2011-02-21,41.2,41.2,40.8,40.8,190710.0
2011-02-22,38.8,41.8,38.8,39.7,551750.0
2011-02-23,39.7,41.3,39.7,39.7,192060.0
2011-02-24,38.0,39.5,37.8,38.0,186910.0
2011-02-25,39.0,39.8,38.5,39.8,272840.0
2011-02-28,40.0,41.3,39.5,39.5,231860.0
