date,open,high,low,close,volume
2017-05-12,20893.19,20916.1,20869.74,20896.61,288500000
2017-05-11,20925.72,20933.36,20798.9,20919.42,287680000
2017-05-10,20958.49,20976.28,20884.15,20943.11,283340000
2017-05-09,21022.28,21046.85,20938.04,20975.78,273000000
2017-05-08,20991.26,21017.89,20971.05,21012.28,276150000
2017-05-05,20929.04,21006.94,20905.0,21006.94,260960000
2017-05-04,20987.83,20990.79,20847.95,20951.47,274720000
2017-05-03,20915.0,20972.74,20874.18,20957.9,310920000
2017-05-02,20941.19,20960.92,20904.06,20949.89,338810000
2017-05-01,20962.73,20976.62,20898.38,20913.46,288160000
2017-04-28,20987.39,20987.76,20926.75,20940.51,329990000
2017-04-27,20991.12,21005.8,20935.8,20981.33,305690000
2017-04-26,21009.95,21070.9,20972.27,20975.09,328550000
2017-04-25,20915.51,21026.97,20909.38,20996.12,348180000
2017-04-24,20723.59,20792.2,20723.59,20763.89,342400000
2017-04-21,20578.1,20601.4,20505.33,20547.76,369600000
2017-04-20,20406.68,20629.78,20406.68,20578.71,312440000
2017-04-19,20503.52,20546.69,20379.55,20404.49,294790000
2017-04-18,20561.39,20600.12,20462.28,20523.28,263180000
2017-04-17,20484.75,20644.41,20484.75,20636.92,229240000
2017-04-13,20561.69,20612.27,20453.25,20453.25,235810000
2017-04-12,20637.95,20642.54,20553.03,20591.86,267670000
2017-04-11,20644.32,20660.03,20512.56,20651.3,255120000
2017-04-10,20668.22,20750.33,20614.86,20658.02,230480000
2017-04-07,20647.81,20726.07,20606.95,20656.1,219730000
2017-04-06,20653.77,20746.46,20612.17,20662.95,251720000
2017-04-05,20745.06,20887.5,20639.55,20648.15,284980000
2017-04-04,20634.94,20701.29,20605.3,20689.24,237390000
2017-04-03,20665.17,20692.34,20517.82,20650.21,285670000
2017-03-31,20700.34,20722.59,20660.68,20663.22,303770000
2017-03-30,20662.79,20753.78,20643.6,20728.49,270900000
2017-03-29,20675.75,20684.73,20625.03,20659.32,238320000
2017-03-28,20542.14,20735.61,20520.1,20701.5,299670000
2017-03-27,20488.35,20578.46,20412.8,20550.98,269380000
2017-03-24,20674.45,20718.33,20529.67,20596.72,292980000
2017-03-23,20645.07,20757.89,20618.62,20656.58,280050000
2017-03-22,20640.42,20686.21,20578.95,20661.3,325090000
2017-03-21,20956.33,20970.04,20653.26,20668.01,369320000
2017-03-20,20916.27,20955.45,20885.7,20905.86,253610000
2017-03-17,20965.37,20980.51,20911.07,20914.62,535280000
2017-03-16,20969.27,21000.11,20893.5,20934.55,264360000
2017-03-15,20874.78,20977.47,20859.6,20950.1,306590000
2017-03-14,20848.6,20874.0,20786.31,20837.37,246820000
2017-03-13,20899.28,20926.06,20845.71,20881.48,289260000
2017-03-10,20919.01,20940.29,20827.66,20902.98,315430000
2017-03-09,20864.32,20900.57,20777.16,20858.19,275960000
2017-03-08,20940.44,20951.44,20835.58,20855.73,296780000
2017-03-07,20934.89,20970.54,20901.26,20924.76,274630000
2017-03-06,20955.71,20986.43,20912.11,20954.34,266620000
2017-03-03,21008.75,21039.96,20953.86,21005.71,254420000
2017-03-02,21128.91,21129.2,20996.61,21002.97,319910000
2017-03-01,20957.29,21169.11,20957.29,21115.55,392820000
2017-02-28,20833.88,20841.24,20781.21,20812.24,339210000
2017-02-27,20808.71,20851.33,20774.76,20837.44,256540000
2017-02-24,20751.91,20821.76,20733.95,20821.76,292540000
2017-02-23,20817.21,20840.7,20746.41,20810.32,302110000
2017-02-22,20715.41,20781.59,20692.39,20775.6,310530000
2017-02-21,20663.43,20757.64,20663.37,20743.0,336880000
2017-02-17,20564.13,20624.05,20532.61,20624.05,340620000
2017-02-16,20627.31,20639.87,20556.83,20619.77,354120000
2017-02-15,20504.27,20620.45,20496.03,20611.86,384380000
2017-02-14,20374.22,20504.41,20374.02,20504.41,356580000
2017-02-13,20338.54,20441.48,20322.95,20412.16,314620000
2017-02-10,20211.23,20298.21,20204.76,20269.37,312230000
2017-02-09,20061.73,20206.36,20061.73,20172.4,325310000
2017-02-08,20049.29,20068.28,20015.33,20054.34,280410000
2017-02-07,20107.62,20155.35,20068.68,20090.29,279670000
2017-02-06,20025.61,20094.95,20002.81,20052.42,281720000
2017-02-03,19964.21,20081.48,19964.21,20071.46,344220000
