date,open,high,low,close,volume
2014-12-08,39.6,39.6,39.6,39.6,152060.0
2014-12-09,42.3,42.3,40.5,40.5,319600.0
2014-12-10,41.0,41.5,40.0,40.9,141420.0
2014-12-11,40.0,40.1,39.2,39.7,86670.0
2014-12-12,39.2,39.8,39.1,39.3,155260.0
2014-12-15,39.0,39.0,38.2,38.2,88190.0
2014-12-16,37.9,37.9,35.6,36.2,182070.0
2014-12-17,37.9,37.9,35.7,36.0,123960.0
2014-12-18,36.0,38.5,35.7,38.0,67820.0
2014-12-19,38.5,38.5,36.8,37.6,33600.0
2014-12-22,36.5,37.7,36.5,37.7,26380.0
2014-12-23,37.6,38.8,37.3,38.8,45010.0
2014-12-24,38.9,40.8,38.9,40.0,376320.0
2014-12-25,40.5,40.5,38.8,40.0,33780.0
2014-12-26,38.2,40.2,38.2,39.7,7330.0
2014-12-29,39.0,39.0,38.0,38.7,7550.0
2014-12-30,38.0,39.5,36.0,38.7,7550.0
2014-12-31,38.3,38.9,38.3,38.4,22310.0
2015-01-05,38.3,39.3,38.3,39.0,6890.0
2015-01-06,39.0,39.0,38.3,38.8,16440.0
2015-01-07,38.2,39.0,38.2,38.6,7360.0
2015-01-08,39.0,39.0,38.3,38.4,23800.0
2015-01-09,38.4,39.1,38.4,39.1,51100.0
2015-01-12,39.1,40.0,39.0,39.2,77160.0
2015-01-13,39.8,39.8,39.2,39.6,6220.0
2015-01-14,39.5,40.3,39.5,39.9,145930.0
2015-01-15,40.0,40.2,40.0,40.1,84720.0
2015-01-16,40.2,40.2,40.0,40.1,10270.0
2015-01-19,40.0,40.0,39.9,39.9,32820.0
2015-01-20,39.7,40.1,39.6,39.9,33980.0
2015-01-21,39.8,40.0,39.8,39.9,13120.0
2015-01-22,39.8,40.0,39.7,39.7,9400.0
2015-01-23,39.9,40.0,39.5,39.9,10870.0
2015-01-26,39.9,39.9,39.7,39.7,9720.0
2015-01-27,39.7,39.9,39.1,39.1,63840.0
2015-01-28,39.5,39.6,39.2,39.6,14630.0
2015-01-29,39.7,39.7,39.2,39.3,25390.0
2015-01-30,39.0,39.6,39.0,39.6,3010.0
2015-02-02,39.0,39.2,38.9,39.2,27470.0
2015-02-03,38.9,39.1,38.7,38.7,32650.0
2015-02-04,38.4,39.0,38.4,38.8,7910.0
2015-02-05,38.5,38.8,38.5,38.7,22840.0
2015-02-06,38.7,38.7,38.5,38.5,20690.0
2015-02-09,39.0,39.0,38.0,38.0,83810.0
2015-02-10,38.0,38.5,36.1,38.5,57240.0
2015-02-11,38.5,38.8,37.0,38.8,54510.0
2015-02-12,38.8,38.8,37.3,38.8,20020.0
2015-02-13,38.3,38.4,37.1,37.4,68010.0
2015-02-24,37.4,38.4,37.0,38.2,29620.0
2015-02-25,38.0,38.0,37.1,37.3,24630.0
2015-02-26,37.3,37.9,37.0,37.9,15850.0
2015-02-27,37.9,37.9,37.5,37.9,8440.0
2015-03-02,37.9,38.2,37.6,38.0,20390.0
2015-03-03,37.9,38.2,37.7,38.2,10930.0
2015-03-04,38.0,38.0,37.5,38.0,26130.0
2015-03-05,38.0,38.0,37.5,37.5,11300.0
2015-03-06,37.9,38.0,37.5,38.0,4800.0
2015-03-09,37.8,38.0,37.5,37.8,18580.0
2015-03-10,37.9,38.0,37.6,37.6,8300.0
2015-03-11,37.7,37.7,37.6,37.6,1520.0
2015-03-12,37.9,37.9,37.4,37.6,4840.0
2015-03-13,37.6,37.8,37.6,37.6,3190.0
2015-03-16,37.5,37.8,37.4,37.8,33520.0
2015-03-17,37.6,37.7,37.6,37.6,6500.0
2015-03-18,37.5,37.6,37.4,37.6,21830.0
2015-03-19,37.5,38.0,37.5,37.9,1020.0
2015-03-20,37.9,39.9,37.9,37.9,33200.0
2015-03-23,38.5,39.4,37.7,38.4,6820.0
2015-03-24,38.1,38.3,38.0,38.3,10650.0
2015-03-25,38.0,38.0,37.8,37.8,26930.0
2015-03-26,38.0,38.6,38.0,38.6,15160.0
2015-03-27,38.2,38.5,38.2,38.4,4260.0
2015-03-30,38.1,38.3,37.9,37.9,24810.0
2015-03-31,39.4,39.4,38.0,39.0,40.0
2015-04-01,38.1,39.0,37.8,39.0,25800.0
2015-04-02,37.8,38.0,37.7,38.0,12010.0
2015-04-03,38.0,38.3,38.0,38.2,2120.0
2015-04-06,38.2,38.2,38.2,38.2,2010.0
2015-04-07,38.2,38.4,37.9,38.4,30510.0
2015-04-08,39.0,39.2,37.9,37.9,9590.0
2015-04-09,38.3,38.3,38.0,38.1,1640.0
2015-04-10,38.1,38.6,37.9,38.4,18760.0
2015-04-13,38.0,38.0,38.0,38.0,20620.0
2015-04-14,38.0,38.5,38.0,38.5,27420.0
2015-04-15,38.6,38.6,38.0,38.5,7740.0
2015-04-16,38.4,38.6,38.0,38.4,17300.0
2015-04-17,38.4,38.8,38.0,38.5,7400.0
2015-04-20,38.5,38.5,38.2,38.4,14500.0
2015-04-21,38.4,38.5,38.0,38.5,7300.0
2015-04-22,38.7,38.7,38.0,38.4,24150.0
2015-04-23,36.0,36.0,34.8,35.4,9760.0
2015-04-24,33.2,35.2,33.2,35.0,2740.0
2015-04-27,34.1,34.8,34.1,34.8,19230.0
2015-05-04,34.5,34.5,33.1,33.1,28340.0
2015-05-05,33.3,33.5,33.0,33.2,5340.0
2015-05-06,33.0,34.0,33.0,33.2,1110.0
2015-05-07,33.1,33.7,33.1,33.7,4660.0
2015-05-08,33.1,33.2,33.1,33.2,8020.0
