date,open,high,low,close,volume
2015-12-22,12.5,12.5,11.7,11.7,31900.0
2015-12-23,11.7,11.7,11.7,11.7,17000.0
2015-12-24,11.7,12.0,11.7,12.0,109000.0
2015-12-25,11.7,11.9,11.7,11.9,54300.0
2015-12-28,11.9,12.0,11.9,12.0,54300.0
2015-12-29,12.0,12.0,11.9,12.0,27500.0
2015-12-30,12.1,12.5,12.1,12.5,72600.0
2015-12-31,12.5,13.7,12.5,13.7,165900.0
2016-01-04,12.5,14.2,12.5,14.2,98100.0
2016-01-05,14.2,15.0,13.9,15.0,195500.0
2016-01-06,15.0,15.1,14.9,15.1,189100.0
2016-01-07,14.9,15.3,14.6,15.3,186100.0
2016-01-08,14.9,15.6,14.9,15.6,193400.0
2016-01-11,15.6,15.8,15.6,15.8,230900.0
2016-01-12,15.8,15.8,15.5,15.5,138400.0
2016-01-13,15.4,15.5,15.0,15.4,119300.0
2016-01-14,15.4,15.8,15.4,15.7,87400.0
2016-01-15,15.7,16.1,15.7,15.9,22800.0
2016-01-18,15.5,15.5,15.3,15.4,16300.0
2016-01-19,15.5,16.9,15.5,16.9,160200.0
2016-01-20,16.9,17.2,16.9,17.2,166300.0
2016-01-21,17.0,17.5,16.8,17.2,111800.0
2016-01-22,17.9,18.9,17.7,18.9,175300.0
2016-01-25,18.8,19.1,18.7,19.0,63400.0
2016-01-26,18.7,18.8,18.5,18.6,18600.0
2016-01-27,18.6,20.3,18.6,20.1,51400.0
2016-01-28,20.1,20.2,19.9,20.1,92100.0
2016-01-29,19.9,20.0,19.8,19.8,42500.0
2016-02-01,19.7,19.7,18.5,18.8,160300.0
2016-02-02,18.7,19.1,18.0,19.1,107000.0
2016-02-03,19.0,19.3,19.0,19.3,17000.0
2016-02-04,19.2,19.3,19.2,19.3,4100.0
2016-02-05,19.1,19.1,19.0,19.1,3200.0
2016-02-15,19.2,19.2,18.9,19.1,236500.0
2016-02-16,19.0,19.7,19.0,19.6,201800.0
2016-02-17,19.6,19.9,19.6,19.9,187400.0
2016-02-18,19.9,20.4,19.9,20.4,200900.0
2016-02-19,20.4,20.5,20.3,20.5,193400.0
2016-02-22,20.5,20.5,20.0,20.0,95200.0
2016-02-23,20.0,20.1,19.6,19.7,76100.0
2016-02-24,19.6,20.1,19.6,20.0,118300.0
2016-02-25,19.9,20.0,19.6,19.7,184400.0
2016-02-26,19.6,19.9,19.6,19.8,57500.0
2016-02-29,19.7,19.7,19.1,19.1,28000.0
2016-03-01,19.0,19.0,17.2,17.2,45500.0
2016-03-02,15.6,16.7,15.6,16.6,191300.0
