date,open,high,low,close,volume
2014-10-06,12.2,12.2,10.4,10.4,1075170.0
2014-10-07,10.6,10.6,10.3,10.3,252160.0
2014-10-08,10.3,10.4,10.3,10.3,259580.0
2014-10-09,10.2,10.4,10.1,10.2,286330.0
2014-10-10,10.1,10.1,9.9,9.9,224720.0
2014-10-13,9.9,9.9,9.8,9.9,104260.0
2014-10-14,9.8,9.9,9.8,9.9,6550.0
2014-10-15,9.8,9.9,9.8,9.9,63710.0
2014-10-16,9.9,9.9,9.6,9.6,152580.0
2014-10-17,9.7,9.8,9.6,9.7,44150.0
2014-10-20,9.9,9.9,9.8,9.8,40970.0
2014-10-21,9.8,9.9,9.7,9.9,33620.0
2014-10-22,9.9,9.9,9.8,9.8,10540.0
2014-10-23,9.7,9.8,9.7,9.8,137180.0
2014-10-24,9.7,9.7,9.7,9.7,9390.0
2014-10-27,9.7,9.7,9.6,9.6,47190.0
2014-10-28,9.5,9.6,9.5,9.5,13240.0
2014-10-29,9.4,9.8,9.4,9.8,4780.0
2014-10-30,9.7,9.8,9.6,9.7,13410.0
2014-10-31,9.7,9.9,9.6,9.9,523960.0
2014-11-03,9.8,10.1,9.8,10.1,571720.0
2014-11-04,10.2,10.2,10.0,10.1,528730.0
2014-11-05,10.0,10.1,9.9,10.0,565510.0
2014-11-06,9.9,10.0,9.8,10.0,528800.0
2014-11-07,9.8,10.0,9.8,9.8,20830.0
2014-11-10,9.9,10.0,9.9,9.9,877300.0
2014-11-11,9.9,10.0,9.9,10.0,42460.0
2014-11-12,10.0,10.1,9.9,9.9,140830.0
2014-11-13,9.9,10.1,9.9,10.0,102980.0
2014-11-14,9.9,10.0,9.9,9.9,7380.0
2014-11-17,9.9,9.9,9.9,9.9,6620.0
2014-11-18,10.0,10.0,9.9,9.9,410440.0
2014-11-19,9.9,10.0,9.8,9.8,411290.0
2014-11-20,9.8,9.9,9.8,9.9,403040.0
2014-11-21,9.9,10.0,9.6,9.6,492110.0
2014-11-24,9.7,9.7,9.5,9.5,29080.0
2014-11-25,9.6,9.7,9.5,9.7,3710.0
2014-11-26,9.7,9.7,9.5,9.5,3570.0
2014-11-27,9.6,9.6,9.5,9.5,6630.0
2014-11-28,9.5,9.5,9.5,9.5,1310.0
2014-12-01,9.5,9.7,9.5,9.7,50.0
2014-12-02,9.6,9.6,9.5,9.5,1250.0
2014-12-03,9.6,9.6,9.5,9.6,10360.0
2014-12-04,9.6,9.7,9.6,9.7,1910.0
2014-12-05,9.7,9.7,9.7,9.7,44640.0
2014-12-08,9.5,9.7,9.5,9.6,2960.0
2014-12-09,9.6,9.6,9.4,9.4,10550.0
2014-12-10,9.3,9.5,9.3,9.5,80100.0
2014-12-11,9.5,9.5,9.4,9.5,95100.0
2014-12-12,9.5,9.5,9.4,9.5,5890.0
2014-12-15,9.5,9.5,9.5,9.5,48470.0
2014-12-16,9.4,9.4,9.2,9.3,105310.0
2014-12-17,9.3,9.3,8.9,8.9,63460.0
2014-12-18,9.0,9.0,9.0,9.0,28110.0
2014-12-19,9.4,9.4,9.0,9.0,11400.0
2014-12-22,9.0,9.2,8.9,9.2,38550.0
2014-12-23,9.1,9.2,9.0,9.1,115910.0
2014-12-24,9.1,9.2,9.1,9.1,48660.0
2014-12-25,9.1,9.1,9.1,9.1,63100.0
2014-12-26,9.1,9.2,9.1,9.2,1160.0
2014-12-29,9.1,9.2,9.0,9.2,19580.0
2014-12-30,9.0,9.3,9.0,9.3,10330.0
2014-12-31,9.3,9.4,9.1,9.4,4090.0
2015-01-05,9.4,9.4,9.3,9.4,17810.0
2015-01-06,9.3,9.4,9.2,9.4,19840.0
2015-01-07,9.4,9.5,9.4,9.4,15940.0
2015-01-08,9.5,9.5,9.3,9.3,25600.0
2015-01-09,9.3,9.5,9.3,9.5,49670.0
2015-01-12,9.5,9.7,9.5,9.6,84430.0
2015-01-13,9.5,9.6,9.5,9.6,60830.0
2015-01-14,9.6,9.6,9.5,9.6,48280.0
2015-01-15,9.6,9.6,9.5,9.5,58000.0
2015-01-16,9.5,9.6,9.5,9.5,56290.0
2015-01-19,9.5,9.5,9.5,9.5,86310.0
2015-01-20,9.4,9.5,9.4,9.4,69150.0
2015-01-21,9.4,9.5,9.4,9.4,59010.0
2015-01-22,9.4,9.4,9.4,9.4,55350.0
2015-01-23,9.5,9.5,9.4,9.5,111380.0
2015-01-26,9.5,9.5,9.5,9.5,68010.0
2015-01-27,9.5,9.5,9.5,9.5,86620.0
2015-01-28,9.4,9.5,9.4,9.5,80060.0
2015-01-29,9.4,9.5,9.4,9.5,53620.0
2015-01-30,9.4,9.5,9.4,9.5,50800.0
2015-02-02,9.4,9.4,9.3,9.3,24800.0
2015-02-03,9.4,9.4,9.3,9.3,2020.0
2015-02-04,9.3,9.3,9.3,9.3,1700.0
2015-02-05,9.3,9.3,9.2,9.2,4180.0
2015-02-06,9.3,9.3,9.2,9.2,80960.0
2015-02-09,9.3,9.3,9.3,9.3,40380.0
2015-02-10,9.3,9.3,9.1,9.2,109710.0
2015-02-11,9.2,9.3,9.2,9.3,104000.0
2015-02-12,9.4,9.4,9.4,9.4,630.0
2015-02-13,9.5,9.5,9.5,9.5,40.0
2015-02-24,9.5,9.5,9.4,9.5,16830.0
2015-02-25,9.6,9.6,9.5,9.6,8070.0
2015-02-26,9.5,9.5,9.5,9.5,41640.0
2015-02-27,9.6,9.6,9.5,9.5,63170.0
2015-03-02,9.6,9.6,9.5,9.5,50610.0
2015-03-03,9.5,9.6,9.5,9.6,42030.0
2015-03-04,9.6,9.7,9.6,9.6,47250.0
2015-03-05,9.6,9.6,9.6,9.6,45210.0
2015-03-06,9.6,9.7,9.6,9.7,45300.0
2015-03-09,9.6,9.6,9.5,9.6,68860.0
2015-03-10,9.6,9.6,9.6,9.6,100.0
2015-03-11,9.5,9.5,9.5,9.5,2040.0
