date,open,high,low,close,volume
2015-10-07,24.0,29.0,24.0,25.7,150100
2015-10-08,26.0,26.0,25.0,25.4,30370
2015-10-09,25.4,25.4,24.8,25.3,40730
2015-10-12,24.8,24.8,23.6,23.6,119300
2015-10-13,22.0,23.0,22.0,22.4,215830
2015-10-14,22.8,23.7,22.8,23.7,8450
2015-10-15,23.5,24.0,23.2,23.9,43830
2015-10-16,24.0,24.1,24.0,24.0,54700
2015-10-19,24.0,24.1,24.0,24.0,24740
2015-10-20,24.0,24.5,24.0,24.5,25700
2015-10-21,24.3,24.4,24.1,24.1,11660
2015-10-22,24.1,24.3,24.1,24.2,19700
2015-10-23,24.2,25.1,24.2,25.1,116390
2015-10-26,25.0,25.3,24.9,24.9,21810
2015-10-27,25.0,25.8,25.0,25.8,84070
2015-10-28,25.8,27.0,25.8,26.8,126370
2015-10-29,27.2,28.6,27.2,28.6,289240
2015-10-30,30.0,30.0,28.6,28.6,105240
2015-11-02,29.2,29.2,26.7,27.0,33880
2015-11-03,27.1,27.6,26.0,27.6,16800
2015-11-04,27.6,27.6,26.2,26.4,40300
2015-11-05,26.2,26.8,26.2,26.4,46210
2015-11-06,26.6,27.5,26.6,27.0,91190
2015-11-09,27.3,27.3,26.5,26.5,33090
2015-11-10,26.4,26.7,26.3,26.3,57090
2015-11-11,26.5,26.5,26.2,26.2,15240
2015-11-12,26.1,26.5,26.0,26.2,65860
2015-11-13,26.2,27.1,26.2,27.1,58580
2015-11-16,27.0,27.1,26.5,27.1,25360
2015-11-17,27.2,27.2,27.0,27.0,49190
2015-11-18,27.1,27.1,26.4,26.5,8730
2015-11-19,26.5,26.5,26.0,26.5,21590
2015-11-20,26.5,27.4,26.5,26.6,49640
2015-11-23,26.9,26.9,26.8,26.8,39390
2015-11-24,26.5,26.9,26.5,26.5,42570
2015-11-25,26.5,28.3,26.5,28.2,164360
2015-11-26,28.4,28.4,27.8,27.8,45620
2015-11-27,28.3,28.3,26.8,26.8,18040
2015-11-30,27.6,27.6,26.5,26.6,36360
2015-12-01,26.5,27.0,26.5,26.9,11880
2015-12-02,27.0,27.0,26.9,26.9,3210
2015-12-03,27.0,27.1,26.7,26.7,28660
2015-12-04,26.6,26.9,26.5,26.8,27530
2015-12-07,26.6,26.9,26.3,26.8,52450
2015-12-08,26.5,26.8,26.5,26.8,56770
2015-12-09,26.8,27.0,26.5,27.0,26740
2015-12-10,26.5,26.6,26.4,26.6,7040
2015-12-11,26.6,26.6,26.5,26.5,28820
2015-12-14,26.4,26.5,26.4,26.4,5700
2015-12-15,26.6,26.6,26.4,26.5,11650
2015-12-16,26.5,26.6,26.4,26.4,8670
2015-12-17,26.7,26.7,26.4,26.4,31280
2015-12-18,26.3,26.4,26.3,26.4,9320
2015-12-21,26.3,26.6,26.3,26.5,25980
2015-12-22,26.5,26.8,26.5,26.8,6020
2015-12-23,26.8,26.8,26.8,26.8,0
2015-12-24,26.6,26.8,26.4,26.6,5930
2015-12-25,26.5,26.5,26.3,26.5,10300
2015-12-28,26.5,26.5,26.5,26.5,0
2015-12-29,26.3,26.5,26.0,26.5,12740
2015-12-30,26.7,28.0,26.6,27.1,79750
2015-12-31,27.9,27.9,26.8,27.0,23150
2016-01-04,26.8,27.0,26.8,27.0,32090
2016-01-05,27.0,27.0,26.5,26.5,16050
2016-01-06,26.6,27.0,26.5,27.0,21670
2016-01-07,26.8,26.8,26.5,26.8,48300
2016-01-08,26.3,26.5,26.0,26.3,59120
2016-01-11,25.0,26.7,25.0,26.6,550
2016-01-12,26.6,26.6,26.6,26.6,180
2016-01-13,26.5,26.6,26.2,26.2,9920
2016-01-14,26.2,26.2,26.0,26.0,6900
2016-01-15,26.0,26.0,26.0,26.0,2200
2016-01-18,25.3,25.8,24.3,24.5,26280
2016-01-19,26.2,26.2,26.2,26.2,10
2016-01-20,26.3,26.3,24.5,24.5,29190
2016-01-21,26.2,26.2,24.5,26.0,14610
2016-01-22,26.0,26.0,24.5,25.9,6160
2016-01-25,26.0,26.0,25.9,26.0,1500
2016-01-26,24.6,25.9,24.5,25.9,6280
2016-01-27,25.5,25.8,24.9,25.1,27620
2016-01-28,25.1,25.6,25.0,25.6,12830
2016-01-29,25.2,25.4,25.0,25.4,11900
2016-02-01,25.0,25.2,25.0,25.2,17800
2016-02-02,25.0,25.1,24.9,24.9,12610
2016-02-03,25.0,25.6,25.0,25.6,49560
2016-02-04,26.0,26.7,26.0,26.5,37780
2016-02-05,26.0,26.5,26.0,26.5,32500
2016-02-15,25.8,26.5,25.8,26.5,53550
2016-02-16,26.5,26.6,26.5,26.6,27400
2016-02-17,26.6,28.3,26.6,28.0,95440
2016-02-18,28.0,28.1,27.5,27.5,58200
2016-02-19,27.5,28.0,27.5,27.8,17200
2016-02-22,27.6,27.6,27.4,27.5,22350
2016-02-23,27.5,27.6,27.5,27.6,18500
2016-02-24,27.6,27.6,27.5,27.6,22140
2016-02-25,27.6,27.6,27.5,27.5,7760
2016-02-26,27.4,27.9,26.3,27.4,6730
2016-02-29,27.6,27.9,27.4,27.9,18470
2016-03-01,27.9,28.2,27.8,27.9,21130
2016-03-02,28.2,28.2,27.6,27.6,39870
2016-03-03,28.1,28.1,27.8,28.0,20010
2016-03-04,28.0,28.0,27.8,28.0,10800
2016-03-07,28.0,28.0,26.2,27.9,1650
2016-03-08,27.9,28.0,27.8,28.0,28310
2016-03-09,27.9,29.0,27.9,28.9,44910
2016-03-10,29.0,30.1,29.0,30.1,64690
2016-03-11,30.3,31.5,29.8,31.4,162710
2016-03-14,31.6,31.6,30.0,30.6,48610
2016-03-15,30.4,31.0,29.0,29.0,101120
2016-03-16,29.0,30.4,29.0,29.9,72180
2016-03-17,29.9,30.0,29.6,30.0,24260
2016-03-18,30.0,30.0,29.0,29.4,29400
2016-03-21,30.4,30.4,28.8,28.8,38560
2016-03-22,28.9,29.2,28.1,29.2,32400
2016-03-23,29.2,29.5,28.8,29.5,28230
2016-03-24,29.5,29.5,28.8,28.8,14350
2016-03-25,28.8,29.3,28.6,29.2,15320
2016-03-28,29.8,30.0,28.6,29.4,12960
2016-03-29,29.1,29.2,28.5,28.5,52590
2016-03-30,28.5,30.0,28.5,29.2,151710
2016-03-31,29.5,30.5,29.3,29.9,140960
2016-04-01,29.3,30.1,29.1,29.8,60910
2016-04-04,29.5,29.8,29.2,29.4,40290
2016-04-05,29.4,29.5,29.4,29.5,4370
2016-04-06,29.5,30.0,29.5,29.8,46640
2016-04-07,30.1,30.1,29.5,29.9,55460
2016-04-08,29.5,31.5,29.5,31.4,190380
2016-04-11,31.5,33.2,31.5,32.5,126000
2016-04-12,32.5,32.8,32.4,32.5,131010
2016-04-13,32.5,33.1,32.0,32.8,85740
2016-04-14,32.5,32.8,32.2,32.3,48970
2016-04-15,32.2,33.1,32.0,32.4,106880
2016-04-19,33.1,33.1,32.4,32.4,215780
2016-04-20,32.4,32.6,32.0,32.3,49090
