date,open,high,low,close,volume
2017-02-06,10.7,10.7,10.7,10.7,200.0
2017-02-07,10.7,10.7,10.7,10.7,0.0
2017-02-08,11.0,11.0,11.0,11.0,200.0
2017-02-09,10.7,10.7,10.7,10.7,200.0
2017-02-10,10.7,10.7,10.7,10.7,0.0
2017-02-13,10.7,10.7,10.7,10.7,200.0
2017-02-14,10.7,10.7,10.7,10.7,0.0
2017-02-15,10.7,10.7,10.7,10.7,0.0
2017-02-16,10.7,10.7,10.7,10.7,0.0
2017-02-17,10.7,10.7,10.7,10.7,0.0
2017-02-20,10.7,10.7,10.7,10.7,0.0
2017-02-21,10.7,10.7,10.7,10.7,0.0
2017-02-22,10.7,10.7,10.7,10.7,0.0
2017-02-23,10.7,10.7,10.7,10.7,100.0
2017-02-24,10.7,10.7,10.7,10.7,0.0
2017-02-27,10.7,10.7,10.7,10.7,0.0
2017-02-28,10.7,10.7,10.7,10.7,0.0
2017-03-01,10.7,10.7,10.7,10.7,0.0
2017-03-02,10.7,10.7,10.7,10.7,0.0
2017-03-03,10.6,10.6,10.6,10.6,100.0
2017-03-06,10.6,10.6,10.6,10.6,0.0
2017-03-07,10.6,10.6,10.6,10.6,0.0
2017-03-08,10.6,10.6,10.6,10.6,0.0
2017-03-09,10.6,10.6,10.6,10.6,0.0
2017-03-10,10.6,10.6,10.6,10.6,100.0
2017-03-13,10.6,10.6,10.6,10.6,0.0
2017-03-14,10.6,10.6,10.6,10.6,0.0
2017-03-15,10.6,10.6,10.6,10.6,0.0
2017-03-16,10.6,10.6,10.6,10.6,0.0
2017-03-17,10.6,10.6,10.6,10.6,0.0
2017-03-20,10.6,10.6,10.6,10.6,0.0
2017-03-21,10.6,10.6,10.6,10.6,0.0
2017-03-22,10.6,10.6,10.6,10.6,0.0
2017-03-23,10.6,10.6,10.6,10.6,0.0
2017-03-24,10.6,10.6,10.6,10.6,0.0
2017-03-27,10.6,10.6,10.6,10.6,0.0
2017-03-28,10.6,10.6,10.6,10.6,0.0
2017-03-29,10.6,10.6,10.6,10.6,0.0
2017-03-30,10.6,10.6,10.6,10.6,0.0
2017-03-31,10.6,10.6,10.6,10.6,0.0
2017-04-03,10.6,10.6,10.6,10.6,0.0
2017-04-04,10.6,10.6,10.6,10.6,0.0
2017-04-05,10.6,10.6,10.6,10.6,0.0
2017-04-07,10.6,10.6,10.6,10.6,0.0
2017-04-10,10.6,10.6,10.6,10.6,0.0
2017-04-11,10.6,10.6,10.6,10.6,0.0
2017-04-12,10.6,10.6,10.6,10.6,0.0
2017-04-13,10.6,10.6,10.6,10.6,0.0
2017-04-14,10.6,10.6,10.6,10.6,0.0
2017-04-17,10.6,10.6,10.6,10.6,0.0
2017-04-18,10.6,10.6,10.6,10.6,0.0
2017-04-19,10.6,10.6,10.6,10.6,0.0
2017-04-20,10.6,10.6,10.6,10.6,0.0
2017-04-21,10.6,10.6,10.6,10.6,0.0
2017-04-24,10.6,10.6,10.6,10.6,0.0
2017-04-25,10.6,10.6,10.6,10.6,0.0
2017-04-26,10.6,10.6,10.6,10.6,0.0
2017-04-27,10.6,10.6,10.6,10.6,0.0
2017-04-28,10.6,10.6,10.6,10.6,0.0
2017-05-03,10.6,10.6,10.6,10.6,0.0
2017-05-04,10.6,10.6,10.6,10.6,0.0
2017-05-05,10.6,10.6,10.6,10.6,0.0
2017-05-08,10.6,10.6,10.6,10.6,0.0
2017-05-09,10.6,10.6,10.6,10.6,0.0
2017-05-10,10.6,10.6,10.6,10.6,0.0
2017-05-11,10.6,10.6,10.6,10.6,0.0
2017-05-12,10.6,10.6,10.6,10.6,0.0
2017-05-15,10.6,10.6,10.6,10.6,0.0
2017-05-16,10.6,10.6,10.6,10.6,0.0
2017-05-17,10.6,10.6,10.6,10.6,0.0
2017-05-18,10.6,10.6,10.6,10.6,0.0
2017-05-19,10.6,10.6,10.6,10.6,0.0
2017-05-22,10.6,10.6,10.6,10.6,0.0
2017-05-23,10.6,10.6,10.6,10.6,0.0
2017-05-24,10.6,10.6,10.6,10.6,0.0
2017-05-25,10.6,10.6,10.6,10.6,0.0
2017-05-26,10.6,10.6,10.6,10.6,0.0
2017-05-29,10.6,10.6,10.6,10.6,0.0
2017-05-30,10.6,10.6,10.6,10.6,0.0
2017-05-31,10.6,10.6,10.6,10.6,0.0
2017-06-01,10.6,10.6,10.6,10.6,0.0
2017-06-02,10.6,10.6,10.6,10.6,0.0
2017-06-05,10.6,10.6,10.6,10.6,0.0
2017-06-06,10.6,10.6,10.6,10.6,0.0
2017-06-07,10.6,10.6,10.6,10.6,0.0
2017-06-08,10.6,10.6,10.6,10.6,0.0
2017-06-09,10.6,10.6,10.6,10.6,0.0
2017-06-12,10.6,10.6,10.6,10.6,0.0
2017-06-13,10.6,10.6,10.6,10.6,0.0
2017-06-14,10.6,10.6,10.6,10.6,0.0
2017-06-15,10.6,10.6,10.6,10.6,0.0
2017-06-16,10.6,10.6,10.6,10.6,0.0
2017-06-19,10.6,10.6,10.6,10.6,0.0
2017-06-20,10.6,10.6,10.6,10.6,0.0
2017-06-21,10.6,10.6,10.6,10.6,0.0
2017-06-22,10.6,10.6,10.6,10.6,0.0
2017-06-23,10.6,10.6,10.6,10.6,0.0
2017-06-26,10.6,10.6,10.6,10.6,0.0
2017-06-27,10.6,10.6,10.6,10.6,0.0
2017-06-28,10.6,10.6,10.6,10.6,0.0
2017-06-29,10.6,10.6,10.6,10.6,0.0
2017-06-30,10.6,10.6,10.6,10.6,0.0
2017-07-03,10.6,10.6,10.6,10.6,0.0
2017-07-04,10.6,10.6,10.6,10.6,0.0
2017-07-05,10.6,10.6,10.6,10.6,0.0
2017-07-06,10.6,10.6,10.6,10.6,0.0
2017-07-07,10.6,10.6,10.6,10.6,0.0
2017-07-10,10.6,10.6,10.6,10.6,0.0
2017-07-11,10.6,10.6,10.6,10.6,0.0
2017-07-12,10.6,10.6,10.6,10.6,0.0
2017-07-13,10.6,10.6,10.6,10.6,0.0
2017-07-14,10.6,10.6,10.6,10.6,0.0
2017-07-17,10.6,10.6,10.6,10.6,0.0
2017-07-18,10.6,10.6,10.6,10.6,0.0
2017-07-19,10.6,10.6,10.6,10.6,0.0
