date,open,high,low,close,volume
2010-06-23,64.0,64.0,58.0,59.0,39030.0
2010-06-24,59.0,59.0,56.5,56.5,20190.0
2010-06-25,54.0,58.5,54.0,55.0,112760.0
2010-06-28,55.0,55.0,54.0,55.0,13000.0
2010-06-29,56.5,56.5,53.0,53.5,34570.0
2010-06-30,53.5,53.5,52.0,53.5,19820.0
2010-07-01,52.5,52.5,51.0,51.0,31670.0
2010-07-02,50.5,53.5,50.5,53.5,17240.0
2010-07-05,55.0,55.0,54.5,54.5,11100.0
2010-07-06,53.5,53.5,53.0,53.5,17710.0
2010-07-07,53.0,53.5,53.0,53.5,4910.0
2010-07-08,53.5,53.5,52.0,52.0,23900.0
2010-07-09,53.0,53.0,52.5,52.5,23010.0
2010-07-12,53.5,53.5,52.0,52.0,4740.0
2010-07-13,54.5,54.5,52.0,54.0,17130.0
2010-07-14,54.0,54.0,52.5,52.5,21750.0
2010-07-15,53.0,53.5,53.0,53.0,36960.0
2010-07-16,53.0,53.5,53.0,53.0,26500.0
2010-07-19,53.0,53.5,52.5,52.5,35930.0
2010-07-20,52.5,53.5,52.5,53.5,32680.0
2010-07-21,53.0,53.5,53.0,53.5,35680.0
2010-07-22,53.0,53.5,53.0,53.5,21290.0
2010-07-23,54.0,56.0,54.0,56.0,78670.0
2010-07-26,58.0,58.0,55.0,55.0,88060.0
2010-07-27,54.0,54.5,54.0,54.0,22370.0
2010-07-28,56.0,56.0,53.0,54.0,32060.0
2010-07-29,53.0,53.0,52.5,53.0,6000.0
2010-07-30,52.5,54.5,52.5,53.0,93000.0
2010-08-02,53.0,53.5,53.0,53.0,20440.0
2010-08-03,53.5,54.0,53.5,53.5,37760.0
2010-08-04,53.5,53.5,52.5,53.0,27100.0
2010-08-05,53.0,53.0,52.5,53.0,19890.0
2010-08-06,53.0,53.0,52.0,53.0,21460.0
2010-08-09,53.0,53.0,50.5,51.0,10390.0
2010-08-10,50.0,50.5,48.6,48.6,72200.0
2010-08-11,51.0,51.0,49.9,50.5,14180.0
2010-08-12,50.5,50.5,48.0,49.5,20110.0
2010-08-13,49.4,50.0,49.4,49.4,18120.0
2010-08-16,51.5,51.5,51.5,51.5,6790.0
2010-08-17,51.5,52.0,51.0,52.0,10040.0
2010-08-18,52.0,52.0,49.4,49.4,32930.0
2010-08-19,50.0,50.0,50.0,50.0,390.0
2010-08-20,50.0,50.0,49.6,50.0,8940.0
2010-08-23,51.5,51.5,49.7,50.0,9860.0
2010-08-24,49.0,50.0,48.0,50.0,20730.0
2010-08-25,49.9,49.9,47.5,47.5,79940.0
2010-08-26,46.2,46.2,45.7,45.9,15200.0
2010-08-27,43.7,45.0,43.7,44.6,5550.0
2010-08-30,44.0,46.0,44.0,44.6,19460.0
2010-08-31,44.8,44.8,43.6,44.5,29970.0
2010-09-01,44.9,44.9,44.0,44.5,23600.0
2010-09-06,46.0,46.7,44.5,44.8,19060.0
2010-09-07,43.9,45.9,43.9,45.9,15090.0
2010-09-08,45.0,45.0,44.8,44.8,8430.0
2010-09-09,44.8,45.5,44.7,44.8,16500.0
2010-09-10,45.4,45.5,43.6,44.0,29930.0
2010-09-13,43.8,43.8,43.4,43.6,23070.0
2010-09-14,43.6,43.6,43.2,43.6,19900.0
2010-09-15,42.7,43.6,42.5,42.8,6220.0
2010-09-16,42.1,43.0,42.1,43.0,3810.0
2010-09-17,43.3,43.5,43.0,43.5,7900.0
2010-09-20,43.5,44.0,43.5,43.8,15170.0
2010-09-21,43.8,44.1,43.5,44.0,14510.0
2010-09-22,43.9,44.1,43.5,44.0,15060.0
2010-09-23,43.8,44.0,43.8,43.8,13200.0
2010-09-24,43.8,44.0,43.8,43.8,12010.0
