date,open,high,low,close,volume
2017-01-12,43.4,43.4,43.4,43.4,100.0
2017-01-13,43.4,43.4,43.4,43.4,0.0
2017-01-16,49.9,49.9,49.9,49.9,100.0
2017-01-17,57.3,57.3,57.3,57.3,900.0
2017-01-18,65.8,65.8,65.8,65.8,1300.0
2017-01-19,75.6,75.6,66.5,75.6,21800.0
2017-01-20,78.0,84.7,78.0,84.7,1350.0
2017-01-23,95.6,95.6,80.1,95.6,11100.0
2017-01-24,90.0,94.3,71.5,94.3,38500.0
2017-01-25,102.0,102.6,102.0,102.6,16900.0
2017-02-02,103.0,103.0,100.0,100.0,2200.0
2017-02-03,95.0,105.0,90.0,100.0,4700.0
2017-02-06,100.0,100.0,99.9,99.9,2600.0
2017-02-07,92.0,92.0,89.0,90.0,11600.0
2017-02-08,91.0,92.0,83.1,88.6,28100.0
2017-02-09,85.0,88.6,76.2,86.0,29200.0
2017-02-10,85.0,85.0,84.0,84.0,11000.0
2017-02-13,78.5,83.0,73.5,79.0,61000.0
2017-02-14,76.0,82.5,74.1,81.0,56350.0
2017-02-15,82.8,90.0,82.8,86.5,30020.0
2017-02-16,86.2,86.9,85.5,85.8,44802.0
2017-02-17,86.0,89.0,86.0,87.5,46000.0
2017-02-20,89.0,89.0,87.5,88.0,25800.0
2017-02-21,88.9,92.0,88.9,91.5,46820.0
2017-02-22,91.8,99.0,91.8,97.0,44695.0
2017-02-23,91.1,98.0,91.1,95.5,10466.0
2017-02-24,95.5,95.5,94.5,95.5,16000.0
2017-02-27,94.0,99.9,94.0,96.0,30400.0
2017-02-28,95.0,95.6,95.0,95.1,13267.0
2017-03-01,95.4,95.5,93.5,93.5,11436.0
2017-03-02,91.0,93.0,90.1,92.0,17600.0
2017-03-03,92.0,96.5,91.4,94.0,30196.0
2017-03-06,96.0,96.5,95.0,96.0,41493.0
2017-03-07,96.4,98.7,96.4,97.0,48395.0
2017-03-08,96.3,98.0,96.3,97.1,11913.0
2017-03-09,97.7,97.7,97.0,97.5,21210.0
2017-03-10,98.0,104.9,98.0,102.0,74848.0
2017-03-13,104.0,116.7,104.0,116.7,88634.0
2017-03-14,122.0,124.9,117.2,120.5,30700.0
2017-03-15,124.0,124.0,118.0,119.9,36498.0
2017-03-16,116.3,123.9,116.3,122.5,31129.0
2017-03-17,125.0,125.0,119.0,121.5,7082.0
2017-03-20,120.0,120.0,116.3,118.0,31374.0
2017-03-21,118.0,123.0,118.0,120.4,64914.0
2017-03-22,120.5,120.5,113.0,115.0,61822.0
2017-03-23,115.9,122.0,114.0,119.0,55000.0
2017-03-24,120.0,123.0,120.0,121.9,42910.0
2017-03-27,120.0,126.0,116.0,125.7,68097.0
2017-03-28,125.0,135.7,125.0,133.9,42481.0
2017-03-29,135.0,138.0,135.0,137.0,36461.0
2017-03-30,140.5,140.8,138.9,140.0,38227.0
2017-03-31,139.2,139.2,120.1,123.0,154254.0
2017-04-03,122.0,125.0,118.0,119.5,46910.0
2017-04-04,120.0,122.7,119.5,121.1,22400.0
2017-04-05,124.0,124.0,110.0,114.0,82926.0
2017-04-07,116.0,117.0,112.5,115.0,19932.0
2017-04-10,114.0,121.0,114.0,116.5,80168.0
2017-04-11,115.5,118.0,113.0,114.8,16850.0
2017-04-12,115.8,115.8,100.0,106.0,29100.0
2017-04-13,106.3,107.0,96.6,99.9,94347.0
2017-04-14,97.0,97.0,88.1,93.0,31780.0
2017-04-17,96.0,97.0,91.1,92.0,68400.0
2017-04-18,91.2,92.0,88.1,90.9,54140.0
2017-04-19,94.0,94.4,90.0,94.4,12930.0
2017-04-20,95.9,106.0,94.2,102.0,47978.0
2017-04-21,103.9,105.0,99.0,101.3,27100.0
2017-04-24,100.0,101.9,94.0,94.5,26300.0
2017-04-25,95.9,95.9,92.0,95.0,24800.0
2017-04-26,95.5,96.7,92.0,94.0,5930.0
2017-04-27,95.0,100.0,94.2,94.9,44200.0
2017-04-28,95.0,95.0,93.0,93.0,9700.0
2017-05-03,93.0,93.0,91.5,93.0,4700.0
2017-05-04,90.5,93.0,90.2,91.6,14600.0
2017-05-05,91.5,91.5,89.8,91.0,26010.0
2017-05-08,90.0,92.0,89.0,91.0,15917.0
2017-05-09,89.6,90.0,88.0,89.5,25410.0
2017-05-10,88.6,92.0,88.6,90.0,25700.0
2017-05-11,90.2,90.8,88.6,89.9,19753.0
2017-05-12,90.0,90.0,89.0,89.0,9000.0
2017-05-15,88.3,89.5,88.3,88.9,10113.0
2017-05-16,88.3,88.3,87.6,87.6,21815.0
2017-05-17,87.0,88.6,86.0,87.0,12125.0
2017-05-18,87.5,87.5,87.0,87.0,1567.0
2017-05-19,86.2,86.3,84.0,85.4,6100.0
2017-05-22,84.9,85.0,83.0,84.9,22003.0
