date,open,high,low,close,volume
2016-12-16,44.0,44.0,44.0,44.0,0.0
2016-12-19,44.0,44.0,44.0,44.0,0.0
2016-12-20,44.0,44.0,44.0,44.0,0.0
2016-12-21,44.0,44.0,44.0,44.0,0.0
2016-12-22,44.0,44.0,44.0,44.0,0.0
2016-12-23,44.0,44.0,44.0,44.0,0.0
2016-12-26,44.0,44.0,44.0,44.0,0.0
2016-12-27,44.0,44.0,44.0,44.0,0.0
2016-12-28,44.0,44.0,44.0,44.0,0.0
2016-12-29,44.0,44.0,44.0,44.0,0.0
2016-12-30,44.0,44.0,44.0,44.0,0.0
2017-01-03,44.0,44.0,44.0,44.0,0.0
2017-01-04,44.0,44.0,44.0,44.0,0.0
2017-01-05,44.0,44.0,44.0,44.0,0.0
2017-01-06,44.0,44.0,44.0,44.0,0.0
2017-01-09,44.0,44.0,44.0,44.0,0.0
2017-01-10,44.0,44.0,44.0,44.0,0.0
2017-01-11,44.0,44.0,44.0,44.0,0.0
2017-01-12,44.0,44.0,44.0,44.0,0.0
2017-01-13,44.0,44.0,44.0,44.0,0.0
2017-01-16,44.0,44.0,44.0,44.0,0.0
2017-01-17,44.0,44.0,44.0,44.0,0.0
2017-01-18,44.0,44.0,44.0,44.0,0.0
2017-01-19,44.0,44.0,44.0,44.0,0.0
2017-01-20,44.0,44.0,44.0,44.0,0.0
2017-01-23,44.0,44.0,44.0,44.0,0.0
2017-01-24,44.0,44.0,44.0,44.0,0.0
2017-01-25,44.0,44.0,44.0,44.0,0.0
2017-02-02,44.0,44.0,44.0,44.0,0.0
2017-02-03,44.0,44.0,44.0,44.0,0.0
2017-02-06,44.0,44.0,44.0,44.0,0.0
2017-02-07,44.0,44.0,44.0,44.0,0.0
2017-02-08,44.0,44.0,44.0,44.0,0.0
2017-02-09,44.0,44.0,44.0,44.0,0.0
2017-02-10,44.0,44.0,44.0,44.0,0.0
2017-02-13,44.0,44.0,44.0,44.0,0.0
2017-02-14,44.0,44.0,44.0,44.0,0.0
2017-02-15,44.0,44.0,44.0,44.0,0.0
2017-02-16,44.0,44.0,44.0,44.0,0.0
2017-02-17,44.0,44.0,44.0,44.0,0.0
2017-02-20,44.0,44.0,44.0,44.0,0.0
2017-02-21,44.0,44.0,44.0,44.0,0.0
2017-02-22,44.0,44.0,44.0,44.0,0.0
2017-02-23,44.0,44.0,44.0,44.0,0.0
2017-02-24,44.0,44.0,44.0,44.0,0.0
2017-02-27,44.0,44.0,44.0,44.0,0.0
