date,open,high,low,close,volume
2010-08-09,29.9,29.9,27.22,28.34,300820
2010-08-10,27.09,28.34,26.97,26.97,134610
2010-08-11,25.66,26.91,25.66,26.1,369860
2010-08-12,26.47,26.47,24.85,24.85,87280
2010-08-13,24.1,25.1,24.04,24.92,731660
2010-08-16,25.79,26.04,24.98,25.91,583730
2010-08-17,25.91,25.91,24.98,25.35,291860
2010-08-18,24.91,25.1,24.1,24.11,712220
2010-08-19,24.36,24.48,23.99,24.11,429820
2010-08-20,24.11,24.11,23.24,23.48,574310
2010-08-23,23.23,23.23,22.42,22.42,224980
2010-08-24,23.3,23.3,21.36,21.37,599070
2010-08-25,20.58,21.99,20.58,21.46,224490
2010-08-26,22.43,22.52,21.99,22.51,242060
2010-08-27,22.86,23.57,22.69,23.57,355310
2010-08-30,24.71,24.71,24.63,24.71,1066050
2010-08-31,25.15,25.5,24.53,25.5,941330
2010-09-01,25.5,25.5,24.36,25.33,463320
2010-09-06,25.95,26.03,24.71,25.41,1102110
2010-09-07,24.62,24.79,24.27,24.27,672000
2010-09-08,23.3,23.83,23.21,23.74,346870
2010-09-09,24.18,24.53,23.65,24.09,452530
2010-09-10,23.74,24.09,23.47,23.48,530950
2010-09-13,23.3,23.48,22.42,22.69,327220
2010-09-14,22.87,23.13,22.43,22.95,259960
2010-09-15,22.95,23.3,22.69,23.04,263990
2010-09-16,23.04,24.18,23.04,24.18,619470
2010-09-17,24.18,25.15,24.18,24.97,541740
2010-09-20,25.06,25.41,24.62,25.06,824820
2010-09-21,25.06,26.29,25.06,26.29,1339530
2010-09-22,26.82,27.52,26.73,27.52,1094400
2010-09-23,28.4,28.84,26.38,27.88,1441100
2010-09-24,28.41,28.41,27.53,28.23,656650
2010-09-27,28.49,28.67,28.14,28.32,955910
2010-09-28,28.67,28.67,27.88,28.58,845350
2010-09-29,28.58,28.76,27.17,27.17,453850
2010-09-30,27.17,28.14,26.82,27.26,539370
2010-10-01,27.26,28.14,27.0,27.26,456240
2010-10-04,27.7,27.7,25.94,26.38,486210
2010-10-05,25.06,26.38,25.06,26.38,296340
2010-10-06,26.73,27.26,25.94,27.17,326560
2010-10-07,27.17,27.61,27.08,27.52,265940
2010-10-08,26.82,27.61,26.82,27.08,162050
2010-10-11,27.7,27.7,26.2,26.91,366710
2010-10-12,26.91,26.91,25.94,26.29,277780
2010-10-13,26.29,26.73,26.03,26.38,157340
2010-10-14,27.26,27.26,26.29,26.65,173720
2010-10-15,26.39,26.56,26.12,26.38,79500
2010-10-18,26.82,26.82,26.12,26.29,157790
2010-10-19,26.38,26.38,25.5,25.5,115870
2010-10-20,24.62,25.06,24.27,24.27,116870
2010-10-21,23.74,24.45,23.74,24.36,73240
2010-10-22,24.36,24.45,24.01,24.36,54550
2010-10-25,23.74,24.54,23.3,24.53,65260
2010-10-26,25.15,25.67,23.83,25.06,204430
2010-10-27,25.06,25.06,24.36,24.36,65700
2010-10-28,24.45,24.45,23.48,24.27,118390
2010-10-29,23.48,25.15,23.48,24.36,419430
