date,open,high,low,close,volume
2019-03-29,,,,,0
2019-03-28,0.4,0.5,0.3,0.3,0
2019-03-27,0.4,0.5,0.3,0.3,0
2019-03-26,0.4,0.5,0.3,0.3,0
2019-03-25,0.4,0.5,0.3,0.3,0
2019-03-22,0.4,0.5,0.3,0.3,0
2019-03-21,0.4,0.5,0.3,0.3,0
2019-03-20,0.4,0.5,0.3,0.3,0
2019-03-19,0.4,0.5,0.3,0.3,0
2019-03-18,0.4,0.5,0.3,0.3,0
2019-03-15,0.4,0.5,0.3,0.3,0
2019-03-14,0.4,0.5,0.3,0.3,0
2019-03-13,0.4,0.5,0.3,0.3,0
2019-03-12,0.4,0.5,0.3,0.3,0
2019-03-11,0.4,0.5,0.3,0.3,0
2019-03-08,0.4,0.5,0.3,0.3,110230
2019-03-07,0.3,0.3,0.2,0.3,0
2019-03-06,0.3,0.3,0.2,0.3,0
2019-03-05,0.3,0.3,0.2,0.3,0
2019-03-04,0.3,0.3,0.2,0.3,0
2019-03-01,0.3,0.3,0.2,0.3,0
2019-02-28,0.3,0.3,0.2,0.3,0
2019-02-27,0.3,0.3,0.2,0.3,0
2019-02-26,0.3,0.3,0.2,0.3,0
2019-02-25,0.3,0.3,0.2,0.3,0
2019-02-22,0.3,0.3,0.2,0.3,0
2019-02-21,0.3,0.3,0.2,0.3,0
2019-02-20,0.3,0.3,0.2,0.3,0
2019-02-19,0.3,0.3,0.2,0.3,0
2019-02-18,0.3,0.3,0.2,0.3,0
2019-02-15,0.3,0.3,0.2,0.3,0
2019-02-14,0.3,0.3,0.2,0.3,0
2019-02-13,0.3,0.3,0.2,0.3,0
2019-02-12,0.3,0.3,0.2,0.3,0
2019-02-11,0.3,0.3,0.2,0.3,0
2019-02-01,0.3,0.3,0.2,0.3,0
2019-01-31,0.3,0.3,0.2,0.3,0
2019-01-30,0.3,0.3,0.2,0.3,0
2019-01-29,0.3,0.3,0.2,0.3,0
2019-01-28,0.3,0.3,0.2,0.3,0
2019-01-25,0.3,0.3,0.2,0.3,12100
2019-01-24,0.2,0.3,0.2,0.3,0
2019-01-23,0.2,0.3,0.2,0.3,0
2019-01-22,0.2,0.3,0.2,0.3,0
2019-01-21,0.2,0.3,0.2,0.3,0
2019-01-18,0.2,0.3,0.2,0.3,0
2019-01-17,0.2,0.3,0.2,0.3,0
2019-01-16,0.2,0.3,0.2,0.3,0
2019-01-15,0.2,0.3,0.2,0.3,0
2019-01-14,0.2,0.3,0.2,0.3,0
2019-01-11,0.2,0.3,0.2,0.3,0
2019-01-10,0.2,0.3,0.2,0.3,0
2019-01-09,0.2,0.3,0.2,0.3,0
2019-01-08,0.2,0.3,0.2,0.3,0
2019-01-07,0.2,0.3,0.2,0.3,0
2019-01-04,0.2,0.3,0.2,0.3,0
2019-01-03,0.2,0.3,0.2,0.3,0
2019-01-02,0.2,0.3,0.2,0.3,0
2018-12-28,0.2,0.3,0.2,0.3,42250
2018-12-27,0.3,0.3,0.2,0.3,0
2018-12-26,0.3,0.3,0.2,0.3,0
2018-12-25,0.3,0.3,0.2,0.3,0
2018-12-24,0.3,0.3,0.2,0.3,0
2018-12-21,0.3,0.3,0.2,0.3,11600
2018-12-20,0.3,0.3,0.3,0.3,0
2018-12-19,0.3,0.3,0.3,0.3,0
2018-12-18,0.3,0.3,0.3,0.3,0
2018-12-17,0.3,0.3,0.3,0.3,0
2018-12-14,0.3,0.3,0.3,0.3,6300
2018-12-13,0.3,0.4,0.3,0.4,0
2018-12-12,0.3,0.4,0.3,0.4,0
2018-12-11,0.3,0.4,0.3,0.4,0
2018-12-10,0.3,0.4,0.3,0.4,0
